feature,mean_importance
pitd_std_3,-0.0001876462917618737
tmoy_lag3,-5.334323217089775e-05
weekdays,-2.8549864245295575e-05
teff_cwv_diff_1,-2.854294879572443e-05
ponts_extended_abc,-1.63087767822815e-05
extended_holidays,-1.203215957087042e-05
rolling_hdd_7,-9.064958562138292e-06
woy,-7.455967630418635e-06
nmonth,-6.7806038282656675e-06
month,-4.8245424545446254e-06
holidays,-4.615956400075803e-06
is_winter,-3.854724190717126e-07
not_weekend,0.0
weekend,0.0
isHoliday,0.0
isBizday,0.0
season_astrono,0.0
season_metero,0.0
public_holidays,0.0
etats,0.0
quarter,0.0
noel.structural,0.0
days_to_holiday,0.0
below16.5_abc,0.0
below16.5,0.0
ponts_publics,0.0
ponts_extended,0.0
weekend_winter,0.0
type_vol,9.077997323660852e-07
season,1.7644383109081604e-06
aout.structural,6.70266753297448e-06
isWeekend,1.6162987131633327e-05
hdd_lag1,2.0861627849746296e-05
tmoy_lag14,2.452040488044871e-05
pitd_ewm_14,3.31901014469645e-05
pitd_std_7,3.4858477739461297e-05
dow,3.873772733738127e-05
mday,4.1967332517772214e-05
hdd_lag3,4.390843695801852e-05
sinus,4.476342239002566e-05
tmoy_lag1,5.337819201986071e-05
hdd_lag7,5.491046578591976e-05
tmoy_lag2,5.494543898960421e-05
lag1_to_lag7_ratio,6.192560350202457e-05
hdd_lag14,6.42343478390938e-05
pitd_std_14,7.096706140505091e-05
weekend_cold,7.399008752406403e-05
ponts_publics_abc,8.533076261501657e-05
teff_constr_diff_1,9.027244163754573e-05
tmoy_lag7,0.00010325254931844978
tmoy2,0.00011371452267659905
hdd_lag2,0.00011459025050271337
isWeekday,0.00012174175904453438
tmoy1,0.00012257109907916932
pitd_lag2,0.0001270698659475546
li_terega,0.00013030169577443133
teff_optim_diff_1,0.00014787420681008462
teff_optim,0.00019342091346100828
tmoy_diff_1,0.00019382031147131967
pitd_ma_7,0.0002043286643899531
pitd_lag14,0.0002116808085608877
li,0.00021178940871970016
daydur,0.0002683990133542013
cosinus,0.00030522469753078117
doy,0.0003480234284263278
pitd_ma_3,0.00035454516368515
pitd_lag7,0.00035859146115810455
pitd_ma_14,0.0004196860844954412
pitd_lag3,0.0005442050315897883
tmoy,0.0005450361721873563
pitd_ewm_7,0.0006156607945096307
temp_mean,0.000629617396782995
wday,0.0011581410413100577
pitd_ewm_3,0.0018792656783490833
year,0.002264337803583351
teff_constr,0.0033271259294053385
hdd_bizday,0.003592701393429139
hdd,0.01100633232565421
teff_cwv,0.014229294346801685
pitd_lag1,0.6754880688795986
