feature,mean_importance
pitd_ma_3_ratio_tmoy,-0.0001198788314317037
teff_optim_diff_1,-9.017029618480221e-05
pitd_ma_3_ratio_temp_mean,-4.255032816473728e-05
extended_holidays,-2.4398708939721292e-05
weekend_winter,-1.8333699430896253e-05
tmoy_lag14,-1.164277568515351e-05
weekdays,-1.773722394141433e-06
season_astrono,-1.7213216247405696e-06
noel.structural,-2.47852495958642e-07
isBizday,0.0
quarter,0.0
weekend,0.0
not_weekend,0.0
below16.5_abc,0.0
below16.5,0.0
aout.structural,3.8414932735809234e-07
is_winter,5.306919423180012e-07
type_vol,5.509849824836266e-07
season_metero,5.752683554188439e-07
isHoliday,8.502027429475867e-07
isWeekend,2.016425731317384e-06
public_holidays,2.482191584605997e-06
ponts_publics,4.535164032038082e-06
ponts_extended_abc,7.82748465530895e-06
etats,8.151063726977333e-06
nmonth,8.532898002642196e-06
ponts_extended,9.74231827577509e-06
season,1.1749659931766833e-05
holidays,1.1963870177604703e-05
days_to_holiday,1.2678859318577922e-05
month,1.2781350269497858e-05
tmoy_lag1,1.4732781062428043e-05
teff_cwv_diff_1,1.5524170484942057e-05
tmoy_lag2,2.0776671453900075e-05
hdd_lag3,2.200932771548817e-05
woy,2.2217009197048922e-05
tmoy_lag3,2.725728855761285e-05
ponts_publics_abc,2.7555952320110038e-05
dow,2.9238552117145758e-05
lag1_to_lag7_ratio,3.186395794034097e-05
pitd_lag2,3.473424174869223e-05
hdd_lag1,3.931364176181888e-05
teff_constr,3.9391752627784655e-05
pitd_std_14,4.025364899192079e-05
pitd_std_3,4.715250971471831e-05
mday,5.2868685756340265e-05
tmoy_lag7,5.290770906602963e-05
tmoy,5.489164224835169e-05
hdd_lag2,5.635435565096818e-05
pitd_ewm_3_ratio_tmoy,5.64261975268935e-05
pitd_lag3,5.712400694148651e-05
tmoy2,5.908396353521764e-05
rolling_hdd_7,6.139276997517133e-05
doy,6.278254484766831e-05
pitd_ewm_7,7.042024478880454e-05
hdd_lag14,7.122207783585993e-05
hdd_lag7,7.322731038495993e-05
teff_cwv,8.070392069027492e-05
li_terega,8.266656777617328e-05
pitd_ma_14,8.903408679193752e-05
weekend_cold,9.401034194444404e-05
sinus,0.00010821210414370709
pitd_std_7,0.00011007505568601424
daydur,0.00011298554806522931
tmoy_diff_1,0.00011795013869928469
pitd_ewm_14,0.00013122064783933698
pitd_ma_7,0.00013127854205836429
teff_constr_diff_1,0.00013982035846544697
hdd,0.00014284470454243233
teff_optim,0.00015860090649668317
temp_mean,0.0001688010082305267
isWeekday,0.00017023265567606694
pitd_lag14,0.00018133873139549017
pitd_lag1_ratio_temp_mean,0.00022153203998441108
tmoy1,0.00022756652988355184
cosinus,0.0002506270604337127
pitd_lag7,0.00025426862553646674
pitd_ma_3,0.00032073385162830983
li,0.0005431740467347799
pitd_ewm_3,0.0006105265500325879
pitd_ewm_3_ratio_temp_mean,0.0007891103382888677
tmoy_ratio_pitd_lag1,0.0008214219917904775
wday,0.0010025498495972152
hdd_bizday,0.001405903400873804
year,0.002417593920496634
tmoy_ratio_pitd_ewm_3,0.004964163866927303
pitd_lag1_ratio_tmoy,0.03628243199202836
temp_mean_ratio_pitd_ewm_3,0.03908044823287726
pitd_lag1,0.0463146052311099
temp_mean_ratio_pitd_lag1,0.3311327296439811
