feature,mean_importance
pitd_std_3,-6.178343151228595e-05
pitd_lag3,-6.111860308212255e-05
tmoy_lag3,-2.6923280331923178e-05
weekend_cold,-2.6738293588285736e-05
Dist_Cluster_1,-2.3428493278935917e-05
Dist_Cluster_15,-2.265289341138177e-05
Dist_Cluster_16,-2.260110788821056e-05
weekend_winter,-1.9977756835745132e-05
Dist_Cluster_13,-1.756339153640655e-05
tmoy_lag14,-1.590368856719572e-05
Dist_Cluster_8,-1.5574434207457286e-05
Dist_Cluster_12,-1.4856164995172803e-05
Dist_Cluster_5,-7.872790038217052e-06
tmoy_lag2,-7.298847793186722e-06
sinus,-6.215298655663781e-06
ponts_extended_abc,-5.643210365344036e-06
season_metero,-3.996190071044008e-06
Dist_Cluster_0,-3.205765129159731e-06
Dist_Cluster_2,-2.0926820262449214e-06
public_holidays,-1.4298070477940586e-06
type_vol,-1.0949257231347014e-06
hdd_lag2,-2.9432745676499087e-07
ponts_extended,-2.7606372870660894e-07
ponts_publics,0.0
aout.structural,0.0
quarter,0.0
holidays,0.0
weekend,0.0
isHoliday,0.0
below16.5_abc,0.0
below16.5,0.0
is_winter,0.0
not_weekend,0.0
noel.structural,0.0
Dist_Cluster_21,5.284333361232213e-07
days_to_holiday,1.2955874934101122e-06
ponts_publics_abc,2.0839299093999495e-06
extended_holidays,2.0961000544930317e-06
season_astrono,2.1939071846924576e-06
dow,5.873618492453422e-06
Dist_Cluster_10,6.5823903790189835e-06
isBizday,7.231097278927873e-06
isWeekend,8.812045920482402e-06
Dist_Cluster_14,9.149453812956621e-06
nmonth,1.007049736998101e-05
doy,1.0373547524296887e-05
etats,1.1394048689788647e-05
Dist_Cluster_9,1.4255438439281752e-05
tmoy,1.7159962391172234e-05
weekdays,1.7230576623749812e-05
mday,1.7269782743697255e-05
pitd_lag2,1.7370576822647343e-05
woy,1.9827374708582778e-05
tmoy_lag1,2.0649992388902146e-05
season,2.229720949973417e-05
Dist_Cluster_17,2.2682330080785185e-05
Dist_Cluster_24,2.3458954998557998e-05
Dist_Cluster_19,2.4054667733698284e-05
tmoy1,3.223456851037219e-05
month,3.324395590229307e-05
tmoy2,3.4647465802062004e-05
Dist_Cluster_22,3.503256057487518e-05
Dist_Cluster_18,3.7181268612487656e-05
isWeekday,4.232666719530629e-05
rolling_hdd_7,4.77323806573858e-05
pitd_ma_14,4.809704279091307e-05
hdd_lag3,5.354078762546625e-05
pitd_std_7,6.384297623162997e-05
Dist_Cluster_3,6.431980950646794e-05
tmoy_lag7,6.43719512604465e-05
Dist_Cluster_11,6.962922154469461e-05
daydur,7.978939997237006e-05
Cluster,8.222300268985096e-05
hdd_lag7,8.302034780386484e-05
hdd_lag14,8.449672924734156e-05
pitd_std_14,9.415246136730993e-05
lag1_to_lag7_ratio,0.00010440994777276887
pitd_lag14,0.00011332769120362719
cosinus,0.00013212948470679877
teff_optim_diff_1,0.00013253327994641723
pitd_ma_7,0.00014689127060583083
hdd_lag1,0.00014990632943668886
Dist_Cluster_6,0.00018147143360855555
li_terega,0.00019021331744235192
pitd_ewm_14,0.00019029180714000472
pitd_lag7,0.00019778650911787335
pitd_ewm_7,0.00020612381017764606
pitd_ma_3,0.00022993604348710875
Dist_Cluster_4,0.00028456158349708714
teff_constr_diff_1,0.0002859198549825803
li,0.00030961212858233463
teff_cwv_diff_1,0.00031337640755825307
tmoy_diff_1,0.00037364051115572306
hdd,0.0004098183155628583
Dist_Cluster_20,0.0005864786853498362
Dist_Cluster_23,0.0007052527669400308
year,0.001162981034991599
wday,0.0012094038889600626
Dist_Cluster_7,0.001235740988357029
teff_constr,0.001245596625007116
hdd_bizday,0.0015727910661951568
teff_optim,0.0019852274341470187
pitd_ewm_3,0.004558123758894835
temp_mean,0.004718073301159356
teff_cwv,0.005239165199128969
pitd_lag1,0.7488946222952169
