feature,mean_importance
pitd_std_3,-5.404221633390112e-05
hdd_lag3,-2.2283159369183672e-05
tmoy_lag2,-2.058635526668122e-05
weekdays_Friday,-1.8292519110748792e-05
tmoy_lag14,-1.7602659605454354e-05
ponts_publics_abc_Friday,-1.6911731118758774e-05
extended_holidays,-1.6403463131216095e-05
weekdays_Sunday,-1.4722647639353083e-05
season_peak_season,-8.50086242057957e-06
dow_Monday,-7.6289182248905424e-06
tmoy_lag3,-6.373412564837297e-06
ponts_extended_abc_Wednesday,-4.100946013285526e-06
pitd_std_7,-3.89552164698475e-06
ponts_extended_abc_Thursday,-3.5914321386703448e-06
season_astrono_Spring,-2.622240285655997e-06
ponts_extended_abc_Tuesday,-2.476731519668665e-06
dow_Friday,-1.8893686933101408e-06
dow_Sunday,-9.066739364148313e-07
weekdays_Thursday,-8.901224517788436e-07
quarter,-7.198703123113479e-07
season_metero_Fall,-6.556065958866417e-07
noel.structural,-6.429578130391287e-07
weekdays_Wednesday,-4.613940793700422e-07
ponts_extended_abc_SundayOrHoliday,-4.389577623270871e-07
dow_Tuesday,-3.2036427451750255e-07
month_August,-2.8304786208604993e-07
season_astrono_Autumn,-2.79671000435848e-07
month_April,-2.3451174220954358e-07
month_May,-2.23520334724156e-07
ponts_publics_abc_Wednesday,-1.4319442859737213e-07
month_September,-7.713111345852148e-08
isBizday_True,0.0
public_holidays_FRAllSaints,0.0
public_holidays_EasterMonday,0.0
isHoliday_True,0.0
public_holidays_BoxingDay,0.0
season_metero_Summer,0.0
season_astrono_Summer,0.0
below16.5,0.0
type_vol_vol_zero,0.0
public_holidays_FRArmisticeDay,0.0
month_December,0.0
month_January,0.0
isWeekday_True,0.0
isWeekend_True,0.0
season_low_season,0.0
below16.5_abc_hot,0.0
public_holidays_FRAssumptionVirginMary,0.0
public_holidays_ChristmasDay,0.0
public_holidays_FRFetDeLaVictoire1945,0.0
dow_Thursday,0.0
public_holidays_PentecostMonday,0.0
public_holidays_NewYearsDay,0.0
public_holidays_FRBastilleDay,0.0
public_holidays_GoodFriday,0.0
public_holidays_LaborDay,0.0
month_June,6.118143860856657e-08
public_holidays_NotAHoliday,7.830649254858547e-08
season_metero_Winter,1.385186605425137e-07
month_July,2.1440034586456269e-07
pitd_lag3,3.2139931027477806e-07
dow_Wednesday,8.035763451008995e-07
season_off_season,8.32439483599949e-07
ponts_publics_abc_Tuesday,8.741181066232797e-07
is_winter,8.975857683416951e-07
ponts_publics_abc_AdjToHoliday,1.2299475877880841e-06
aout.structural,1.34548436567742e-06
hdd_lag1,1.4643379884327068e-06
ponts_extended_abc_AdjToHoliday,1.5230066081986863e-06
public_holidays_FRAscension,1.5338305583940255e-06
ponts_publics_abc_Thursday,1.715709691830873e-06
month_November,1.901368383769135e-06
month_October,2.0050051724392755e-06
season_metero_Spring,2.408560533113946e-06
month_March,2.4740106882543273e-06
month_February,2.4761516317270068e-06
season_astrono_Winter,2.7465723970752227e-06
ponts_extended_abc_Saturday,2.8457635625899967e-06
ponts_publics_abc_SundayOrHoliday,3.4141604451403545e-06
weekdays_Saturday,3.5968119147496494e-06
ponts_extended,4.451568682991257e-06
weekend_winter,4.789499118006135e-06
holidays,6.157364919712541e-06
dow_Saturday,6.434816866067276e-06
woy,8.227007878163807e-06
ponts_extended_abc_Friday,8.229081343981252e-06
weekdays_Tuesday,9.595058586199003e-06
etats,9.718095609040183e-06
not_weekend,1.0098394662642896e-05
ponts_publics_abc_Saturday,1.0191594493035721e-05
ponts_publics,1.118136726010084e-05
tmoy_lag7,1.1537290204051421e-05
tmoy_lag1,1.1643256539364994e-05
days_to_holiday,1.193591365243312e-05
tmoy_diff_1,1.1981155795015228e-05
pitd_std_14,1.2224720499412479e-05
nmonth,1.8569118634384832e-05
tmoy1,2.492311659746966e-05
mday,2.494626690768605e-05
weekend_cold,3.27750434891843e-05
ponts_publics_abc_Monday,4.075787513122906e-05
rolling_hdd_7,4.1586888568797065e-05
hdd_lag7,4.8750371671649714e-05
daydur,5.297171458465734e-05
hdd_lag2,5.4643870268850614e-05
weekdays_Monday,5.9885848585529766e-05
pitd_ma_14,6.922323156795563e-05
pitd_ewm_14,7.30996820101814e-05
pitd_lag2,8.550733216005253e-05
sinus,8.6268140353e-05
lag1_to_lag7_ratio,8.972282379317714e-05
doy,9.312585087738866e-05
tmoy2,0.00010160501087446515
li_terega,0.00010473490940190785
weekend,0.00012277174284080155
pitd_ma_7,0.00015048831040192275
ponts_extended_abc_Monday,0.00015346526073546104
hdd_lag14,0.00015451712892575916
pitd_lag14,0.00017990324366565588
teff_optim_diff_1,0.000187133237975118
teff_constr_diff_1,0.0001958039068278716
teff_cwv_diff_1,0.00020776702626911745
pitd_ewm_7,0.0002434617134550853
cosinus,0.00024879742468299616
pitd_lag7,0.0003456461752227637
tmoy,0.000374185306496058
pitd_ma_3,0.00040128868644826
li,0.0004142178060877515
wday,0.0007698057829721054
hdd,0.0009334410825253903
year,0.0011897983564272529
hdd_bizday,0.0018470826132751662
teff_constr,0.0021495552998919984
temp_mean,0.0026491552171846434
teff_cwv,0.0043573862872991285
pitd_ewm_3,0.005203718895754479
teff_optim,0.008132017422493615
pitd_lag1,0.8050236301235862
