feature,mean_importance
pitd_ma_3_ratio_temp_mean,-9.068273370387969e-05
pitd_ewm_3_ratio_tmoy,-8.768553492711668e-05
pitd_ma_3_ratio_tmoy,-5.1120149854263355e-05
extended_holidays,-2.5045244390264378e-05
tmoy_lag3,-1.718202291559785e-05
weekdays_Friday,-1.31066327772298e-05
season_peak_season,-1.0541743078734505e-05
dow_Friday,-1.0000805037557215e-05
woy,-5.0678859863907685e-06
weekdays_Tuesday,-4.852771630463673e-06
ponts_extended_abc_Friday,-4.5797620754749885e-06
dow_Thursday,-4.2507232598645864e-06
month_March,-4.238593892280824e-06
month_January,-2.5337629104496205e-06
ponts_publics_abc_Tuesday,-2.0434528122224503e-06
dow_Sunday,-1.9696343144871493e-06
pitd_ma_14,-1.846799942690526e-06
month_October,-1.4417798312710284e-06
quarter,-1.439371833034976e-06
weekdays_Sunday,-1.4101936155665878e-06
month_April,-1.293855340912635e-06
season_astrono_Winter,-1.2467018112990655e-06
dow_Wednesday,-1.1807624073533265e-06
ponts_publics_abc_Friday,-8.586610291088162e-07
ponts_publics_abc_Wednesday,-8.132937404195171e-07
is_winter,-7.812866568543756e-07
season_metero_Winter,-7.347862948422351e-07
public_holidays_NotAHoliday,-6.617284102505838e-07
season_low_season,-6.461006160375302e-07
type_vol_vol_zero,-6.329560718970617e-07
season_astrono_Autumn,-3.791127754882578e-07
ponts_extended_abc_Tuesday,-1.9823467841510734e-07
season_metero_Summer,-1.7784290586870393e-07
month_August,-3.908228881858294e-08
public_holidays_GoodFriday,0.0
public_holidays_LaborDay,0.0
public_holidays_NewYearsDay,0.0
month_December,0.0
public_holidays_PentecostMonday,0.0
below16.5_abc_hot,0.0
below16.5,0.0
dow_Saturday,0.0
public_holidays_ChristmasDay,0.0
isWeekend_True,0.0
public_holidays_BoxingDay,0.0
public_holidays_FRFetDeLaVictoire1945,0.0
public_holidays_EasterMonday,0.0
public_holidays_FRAllSaints,0.0
season_astrono_Summer,0.0
ponts_extended_abc_AdjToHoliday,0.0
public_holidays_FRArmisticeDay,0.0
isBizday_True,0.0
season_off_season,0.0
public_holidays_FRAssumptionVirginMary,0.0
public_holidays_FRBastilleDay,0.0
isHoliday_True,0.0
isWeekday_True,0.0
season_metero_Spring,6.301901573305818e-08
weekdays_Wednesday,1.4082295191585048e-07
month_September,2.0766442861332863e-07
ponts_publics_abc_AdjToHoliday,2.3146624185173963e-07
month_November,4.1131698703799486e-07
month_June,5.290514703075108e-07
dow_Tuesday,6.751048955498662e-07
month_July,8.004171272628716e-07
month_May,9.046164896440653e-07
ponts_publics,9.076933717830707e-07
public_holidays_FRAscension,9.974045056782357e-07
season_metero_Fall,1.0003548039674154e-06
ponts_extended_abc_Wednesday,1.2408444461410595e-06
noel.structural,1.7858789825670948e-06
aout.structural,1.8223492261004032e-06
ponts_publics_abc_Saturday,2.5791382225947776e-06
ponts_extended_abc_Thursday,3.123425656072383e-06
ponts_publics_abc_Thursday,3.1658576967456832e-06
month_February,3.1766307648901927e-06
ponts_extended,3.206555157837278e-06
dow_Monday,3.5118420095002837e-06
etats,3.988155611665475e-06
ponts_extended_abc_SundayOrHoliday,5.7225065107668545e-06
ponts_publics_abc_SundayOrHoliday,6.38059666393815e-06
tmoy,6.705546728157791e-06
holidays,7.74516910236698e-06
weekdays_Thursday,9.198940694603482e-06
nmonth,1.0376342986518315e-05
ponts_extended_abc_Saturday,1.1167847162944257e-05
pitd_lag3,1.1381492015577303e-05
tmoy_lag1,1.1872909718418749e-05
tmoy_lag14,1.2379254447765324e-05
weekend_winter,1.3047387997184439e-05
tmoy_lag7,1.6570129151825125e-05
season_astrono_Spring,1.8941815991136216e-05
weekdays_Saturday,1.9119728358567464e-05
not_weekend,2.5109240572280914e-05
teff_optim,2.8789787565892434e-05
tmoy_lag2,2.913959867014565e-05
teff_constr,3.275826216533988e-05
hdd_lag14,3.673726393243881e-05
hdd,4.181953962971076e-05
pitd_ma_3,4.2607164048582594e-05
days_to_holiday,4.2670241638764414e-05
pitd_std_3,4.344794464894355e-05
pitd_lag2,4.430689993491603e-05
sinus,4.764487619305768e-05
teff_optim_diff_1,4.862035377056259e-05
rolling_hdd_7,5.078602536339287e-05
hdd_lag2,5.458717772720452e-05
teff_cwv_diff_1,5.7121410588363734e-05
weekdays_Monday,6.01865270740019e-05
pitd_ewm_14,6.194509971309479e-05
lag1_to_lag7_ratio,6.344209157861484e-05
ponts_publics_abc_Monday,6.787295227029845e-05
teff_constr_diff_1,6.803357332505478e-05
mday,7.421635714163592e-05
ponts_extended_abc_Monday,7.643202283624094e-05
teff_cwv,7.671248502427123e-05
pitd_ewm_7,7.677477365023548e-05
hdd_lag3,7.717477701566881e-05
tmoy_diff_1,7.844453892931671e-05
hdd_lag1,7.923398445277112e-05
doy,8.155081876469721e-05
tmoy2,8.262222365474462e-05
pitd_std_7,8.465358034179284e-05
tmoy_ratio_pitd_ewm_3,9.34735392206433e-05
daydur,0.00010630956845733633
weekend,0.00011231860672611133
hdd_lag7,0.00011420233071270779
weekend_cold,0.00012172607682819931
temp_mean,0.0001244651032988601
pitd_ma_7,0.00012960622625860402
pitd_std_14,0.0001340466819692434
tmoy1,0.00014015722082596216
pitd_lag14,0.00014971282473305174
li_terega,0.00017322922340946048
pitd_ewm_3,0.00017473220207226848
cosinus,0.0002760380211788545
pitd_lag7,0.000378580590536301
li,0.0006058711154946116
wday,0.0006404705206858265
pitd_ewm_3_ratio_temp_mean,0.0009359405974104148
hdd_bizday,0.0011927612423771774
pitd_lag1_ratio_temp_mean,0.0013892561612598522
year,0.0020193258335536673
tmoy_ratio_pitd_lag1,0.02111586605518862
pitd_lag1_ratio_tmoy,0.02312606359221244
pitd_lag1,0.054225358453574804
temp_mean_ratio_pitd_ewm_3,0.06962126711434745
temp_mean_ratio_pitd_lag1,0.22214048978613396
