feature,mean_importance
tmoy_lag1,-2.2878712724525713e-05
pitd_ma_3_ratio_temp_mean,-2.182523754046418e-05
ponts_publics_abc_Friday,-1.606877605822184e-05
ponts_extended_abc_Wednesday,-1.5663036453193897e-05
ponts_extended_abc_Saturday,-1.5292477934191438e-05
ponts_publics_abc_Saturday,-1.4603943044663031e-05
hdd_lag3,-1.4016343694940766e-05
pitd_ewm_3_ratio_tmoy,-9.219758898776006e-06
tmoy_lag7,-8.640204106044949e-06
month_April,-8.616076084026585e-06
pitd_ma_14,-6.3883938091962435e-06
ponts_extended_abc_Friday,-5.94122624199625e-06
etats,-3.6640013410561834e-06
quarter,-3.4894457896901544e-06
tmoy_lag2,-2.5719455651301846e-06
month_May,-2.1570838589939078e-06
dow_Tuesday,-2.0415024321483385e-06
dow_Friday,-1.932087669490393e-06
ponts_publics_abc_Wednesday,-1.8950400960419597e-06
ponts_extended_abc_SundayOrHoliday,-1.3516134911439535e-06
season_off_season,-1.2679827880715186e-06
ponts_publics_abc_Tuesday,-1.155883665910143e-06
month_February,-1.1418977944703534e-06
season_astrono_Autumn,-1.1161984797511752e-06
season_metero_Winter,-1.06878506029133e-06
month_November,-9.615123571671269e-07
month_March,-9.074223625464908e-07
type_vol_vol_zero,-8.7901688628194e-07
season_metero_Summer,-5.505998875799181e-07
ponts_extended_abc_Thursday,-4.92432344945462e-07
season_metero_Fall,-4.2640733913020675e-07
month_October,-2.2085096062739173e-07
weekdays_Wednesday,-1.2989361991601333e-07
month_June,-2.1487734631897572e-08
public_holidays_NewYearsDay,0.0
public_holidays_LaborDay,0.0
public_holidays_FRFetDeLaVictoire1945,0.0
public_holidays_FRBastilleDay,0.0
public_holidays_FRAssumptionVirginMary,0.0
below16.5_abc_hot,0.0
public_holidays_FRAscension,0.0
month_December,0.0
isWeekend_True,0.0
public_holidays_PentecostMonday,0.0
public_holidays_FRArmisticeDay,0.0
public_holidays_FRAllSaints,0.0
isWeekday_True,0.0
isBizday_True,0.0
isHoliday_True,0.0
public_holidays_EasterMonday,0.0
public_holidays_ChristmasDay,0.0
month_January,0.0
below16.5,0.0
public_holidays_GoodFriday,0.0
public_holidays_BoxingDay,0.0
ponts_publics_abc_AdjToHoliday,0.0
weekdays_Sunday,2.924364877997243e-08
ponts_extended_abc_Tuesday,7.015835199360165e-08
is_winter,8.478052106099948e-08
ponts_extended_abc_AdjToHoliday,1.0012685517091224e-07
season_astrono_Summer,1.5693573196372963e-07
season_astrono_Winter,1.6188179608449955e-07
month_August,2.2851055690911033e-07
month_September,2.629909606435832e-07
dow_Sunday,2.674309739967434e-07
weekdays_Friday,3.1933521245971347e-07
pitd_ma_3_ratio_tmoy,3.780595446435317e-07
teff_optim,5.471532476132579e-07
noel.structural,5.590987018393862e-07
season_metero_Spring,5.982303129987987e-07
month_July,7.100012664318714e-07
season_astrono_Spring,1.1476458787927636e-06
aout.structural,1.2897294676988968e-06
dow_Wednesday,1.3042893721440171e-06
ponts_publics_abc_Thursday,2.0773508615755387e-06
woy,2.698770559135359e-06
ponts_extended,2.8855585178925653e-06
season_low_season,3.133450025929324e-06
dow_Thursday,3.229384655802428e-06
weekdays_Tuesday,3.3623097350212947e-06
dow_Monday,3.4231545940194978e-06
ponts_publics,5.1217424264522055e-06
season_peak_season,5.285643920219761e-06
days_to_holiday,7.206987812959781e-06
weekend_cold,8.874090693978403e-06
not_weekend,9.034787736327335e-06
public_holidays_NotAHoliday,9.187949340301073e-06
pitd_lag2,1.0738591622881134e-05
weekdays_Thursday,1.1033237828983467e-05
dow_Saturday,1.2693922704416598e-05
ponts_publics_abc_SundayOrHoliday,1.3831064689614515e-05
pitd_std_3,1.5870971054350765e-05
tmoy,1.8911875461709825e-05
