feature,mean_importance
Dist_Cluster_13,-7.52911112507566e-05
hdd_lag3,-5.5043036211157094e-05
pitd_std_3,-5.340211990742215e-05
Dist_Cluster_1,-5.2383454602567514e-05
Dist_Cluster_10,-3.818522811363176e-05
Dist_Cluster_15,-3.292624885072402e-05
pitd_lag3,-2.5609051213452277e-05
mday,-2.127146492907801e-05
Dist_Cluster_21,-2.0957013956794494e-05
Dist_Cluster_0,-1.92135696623014e-05
Dist_Cluster_5,-1.6491484227285082e-05
ponts_extended_abc_Wednesday,-1.6079022274215377e-05
weekend_cold,-1.183051324587115e-05
ponts_extended_abc_Friday,-9.17575897863409e-06
weekdays_Friday,-8.647063971230391e-06
woy,-8.298723483470515e-06
pitd_ma_7,-7.824599103438759e-06
extended_holidays,-6.333676499688766e-06
nmonth,-5.423539082478717e-06
pitd_lag2,-4.654761113853829e-06
season_astrono_Autumn,-4.277739783478847e-06
ponts_extended_abc_SundayOrHoliday,-4.041816163394621e-06
season_peak_season,-3.731222678247936e-06
Dist_Cluster_12,-3.089054092323025e-06
dow_Saturday,-2.985790800021093e-06
dow_Thursday,-2.9137773241405192e-06
holidays,-2.8789900094394402e-06
Dist_Cluster_14,-2.5057147601318523e-06
month_April,-1.2937098987121642e-06
weekdays_Wednesday,-9.859615981802975e-07
tmoy_lag3,-9.26703599874422e-07
ponts_publics_abc_Tuesday,-8.467248297274952e-07
ponts_extended_abc_Thursday,-4.96207781049661e-07
public_holidays_NotAHoliday,-3.9661131193899356e-07
dow_Wednesday,-2.554171341435929e-07
ponts_publics_abc_Friday,-2.3856184469209924e-07
month_September,-1.3147399366593426e-07
ponts_publics_abc_Wednesday,-5.873574751760063e-08
public_holidays_FRAssumptionVirginMary,0.0
season_metero_Summer,0.0
aout.structural,0.0
noel.structural,0.0
ponts_publics_abc_AdjToHoliday,0.0
weekend_winter,0.0
ponts_extended_abc_AdjToHoliday,0.0
public_holidays_FRBastilleDay,0.0
public_holidays_FRArmisticeDay,0.0
below16.5,0.0
season_off_season,0.0
public_holidays_ChristmasDay,0.0
public_holidays_EasterMonday,0.0
public_holidays_BoxingDay,0.0
ponts_publics,0.0
isWeekend_True,0.0
isBizday_True,0.0
isWeekday_True,0.0
month_January,0.0
month_December,0.0
month_August,0.0
dow_Sunday,0.0
isHoliday_True,0.0
season_metero_Spring,0.0
public_holidays_PentecostMonday,0.0
below16.5_abc_hot,0.0
public_holidays_NewYearsDay,0.0
season_astrono_Summer,0.0
season_metero_Fall,0.0
public_holidays_LaborDay,0.0
public_holidays_GoodFriday,0.0
public_holidays_FRAllSaints,0.0
public_holidays_FRFetDeLaVictoire1945,0.0
quarter,1.3688377265529128e-08
ponts_extended,4.864399262387298e-08
is_winter,5.0190251634288366e-08
public_holidays_FRAscension,2.1324149001682168e-07
season_astrono_Spring,2.2899826962931996e-07
month_June,3.4095892171969595e-07
type_vol_vol_zero,4.32208612949174e-07
ponts_publics_abc_SundayOrHoliday,6.676328103347173e-07
season_metero_Winter,6.702856842717361e-07
dow_Tuesday,7.748079186036331e-07
month_July,1.0237265644912063e-06
month_May,1.180789915905707e-06
ponts_publics_abc_Thursday,1.2993023506437453e-06
month_November,1.3656285482208097e-06
month_March,1.4053946201259687e-06
season_low_season,1.4485842383447564e-06
ponts_extended_abc_Tuesday,1.5936928749753568e-06
not_weekend,2.1302676969366803e-06
weekdays_Sunday,2.6919831296672374e-06
dow_Friday,2.9629019317840496e-06
month_October,3.031307227254615e-06
Dist_Cluster_3,3.4863709047329093e-06
weekdays_Thursday,3.6186822475144097e-06
tmoy_lag2,3.7166877919301428e-06
etats,3.93243867089204e-06
ponts_publics_abc_Saturday,5.151678810705156e-06
month_February,5.976468034167223e-06
ponts_extended_abc_Saturday,6.519484867234006e-06
season_astrono_Winter,6.557605411654059e-06
weekdays_Tuesday,7.467234819603409e-06
tmoy_lag14,7.722709799827706e-06
Dist_Cluster_8,7.885294736459727e-06
tmoy_lag7,1.0179420622023067e-05
pitd_std_14,1.0277194157243958e-05
days_to_holiday,1.1281586588993663e-05
hdd_lag2,1.1471028036036563e-05
dow_Monday,1.3556390645210609e-05
tmoy1,1.4273150997476045e-05
Dist_Cluster_9,1.4353033320772639e-05
teff_optim_diff_1,1.5261186952971426e-05
Dist_Cluster_17,1.7076805147251893e-05
Dist_Cluster_19,2.1497357951386943e-05
tmoy_lag1,2.1989587163470486e-05
hdd_lag1,2.3688935286047402e-05
Dist_Cluster_2,3.0471953723096994e-05
hdd_lag14,3.0551334481893584e-05
pitd_ma_14,3.1046562419894017e-05
weekdays_Saturday,3.34299853180493e-05
weekend,3.3477942409133354e-05
Dist_Cluster_16,3.528440150724274e-05
Dist_Cluster_18,3.607119361358751e-05
tmoy,3.880086130053813e-05
Dist_Cluster_6,4.4121429912431785e-05
Dist_Cluster_24,4.7214596714419825e-05
Dist_Cluster_22,4.804847797614652e-05
pitd_ewm_14,4.8724821909723606e-05
sinus,4.929654760414837e-05
lag1_to_lag7_ratio,5.031682457804533e-05
doy,5.425253213084003e-05
ponts_publics_abc_Monday,5.707278440606235e-05
pitd_lag14,7.968670136842323e-05
tmoy2,9.128480494029964e-05
rolling_hdd_7,9.414932867667317e-05
ponts_extended_abc_Monday,9.624014622244114e-05
weekdays_Monday,9.821232772977608e-05
daydur,9.989207941731738e-05
Cluster,0.0001000509338891122
hdd_lag7,0.00010191118939215058
cosinus,0.00011013256451103265
Dist_Cluster_4,0.00012584424568643174
pitd_std_7,0.00013911440165692291
pitd_ma_3,0.00014174342084056005
li_terega,0.00014800479250200085
tmoy_diff_1,0.00015366621240934676
pitd_lag7,0.00017726808419935968
teff_cwv_diff_1,0.00019886874604196878
Dist_Cluster_11,0.000205319813885671
li,0.00022254089186688283
pitd_ewm_7,0.0003755216743624227
teff_constr_diff_1,0.00039193616517292694
Dist_Cluster_23,0.0005762681767624815
wday,0.0005974110632736213
Dist_Cluster_20,0.0007476885147385485
hdd,0.0009073544795951767
hdd_bizday,0.0010962775831388286
teff_constr,0.0010989290640712585
Dist_Cluster_7,0.0013281475911541495
pitd_ewm_3,0.001670211945159349
year,0.0016824122478071503
temp_mean,0.0025810271509242376
teff_optim,0.0034643133666627203
teff_cwv,0.006163235104805935
pitd_lag1,0.748258283290699
