feature,mean_importance
pitd_std_3,-0.00012092687095979493
hdd_lag3,-5.0568096979963266e-05
extended_holidays,-3.428172227806486e-05
tmoy_lag3,-1.762517751468847e-05
month,-6.979477996644362e-06
season,-6.244318992709892e-06
weekend_winter,-1.823973218019817e-06
season_astrono,-8.174665397410463e-07
not_weekend,0.0
is_winter,0.0
ponts_publics,0.0
below16.5_abc,0.0
weekend,0.0
noel.structural,0.0
below16.5,4.163182290699632e-07
season_metero,1.5699350624088017e-06
public_holidays,1.7259616890925865e-06
aout.structural,2.2741855149152614e-06
ponts_extended,3.817465079242708e-06
quarter,4.571062689433421e-06
weekdays,4.873057631721474e-06
days_to_holiday,5.149836406763073e-06
tmoy_lag2,6.193562934182252e-06
isHoliday,9.246226334389852e-06
tmoy_lag14,1.0170732988191122e-05
holidays,1.391980689857391e-05
tmoy1,1.4693052044962088e-05
etats,1.5839846722297096e-05
pitd_std_14,1.6865107766888406e-05
hdd_lag1,1.697492765155382e-05
tmoy_lag1,1.9104255509726914e-05
type_vol,2.102440288954833e-05
ponts_extended_abc,2.2417206007709947e-05
nmonth,2.566006093670161e-05
isWeekend,2.9992092689585215e-05
isBizday,3.019971732949132e-05
tmoy2,3.650770644719765e-05
woy,3.683228330144429e-05
weekend_cold,3.7767169362012444e-05
pitd_lag3,4.086469242294676e-05
hdd_lag2,5.443391276695169e-05
mday,5.5249777504547126e-05
pitd_ma_14,6.181626691816356e-05
pitd_lag2,6.771556307479005e-05
rolling_hdd_7,6.969649054182539e-05
tmoy_lag7,7.055423676028059e-05
ponts_publics_abc,7.16657224961087e-05
sinus,7.38350648126036e-05
hdd_lag7,7.769866318218643e-05
pitd_std_7,8.503061995331646e-05
isWeekday,8.893232631443215e-05
doy,8.907561505446474e-05
lag1_to_lag7_ratio,9.03037346890033e-05
daydur,9.261268722592035e-05
hdd_lag14,9.471778797200941e-05
dow,9.791480377800803e-05
li_terega,0.00011827089766725443
teff_constr_diff_1,0.00011839564591826051
tmoy_diff_1,0.0001360582679051958
teff_optim_diff_1,0.00016794182988153685
tmoy,0.00017925616016694606
pitd_lag14,0.00019567018911774634
cosinus,0.00020264302651075238
pitd_lag7,0.0002041772206871066
teff_cwv_diff_1,0.0003867075023434393
li,0.0005273244727573527
pitd_ewm_7,0.0006605985428910331
pitd_ma_7,0.000668121455057743
pitd_ewm_14,0.0007530339475748229
year,0.0008242903767065723
wday,0.0011926179357571653
pitd_ma_3,0.0014919288338941978
temp_mean,0.0016781548279347323
hdd,0.0017658790065188186
teff_optim,0.0017858221894216503
hdd_bizday,0.002583523560709906
teff_constr,0.008979175763867257
teff_cwv,0.023838855617824797
pitd_ewm_3,0.05521249379446848
pitd_lag1,0.34612437651835337
