feature,mean_importance
pitd_std_3,-0.00018396644291002098
tmoy_lag2,-1.5238320361279575e-05
tmoy_lag7,-9.476326500890837e-06
month,-5.8750499890368456e-06
ponts_extended_abc,-3.828592890901296e-06
etats,-3.5788962556203286e-06
tmoy_lag3,-3.5542542967425745e-06
days_to_holiday,-3.398078154153057e-06
season_metero,-9.73813421766001e-07
type_vol,0.0
isBizday,0.0
isWeekend,0.0
noel.structural,0.0
not_weekend,0.0
ponts_extended,0.0
ponts_publics,0.0
isHoliday,0.0
below16.5_abc,0.0
below16.5,0.0
is_winter,0.0
quarter,0.0
tmoy,0.0
dow,0.0
weekend,0.0
season,1.8237377519270126e-07
hdd_lag14,1.4981296747011361e-06
pitd_lag3,2.4600895331985255e-06
tmoy_lag1,3.591514765205819e-06
nmonth,4.0801432262396045e-06
woy,4.148364354846119e-06
season_astrono,5.181396646486945e-06
tmoy_lag14,1.1609032335782415e-05
aout.structural,1.3343288427876236e-05
pitd_std_7,1.7986375265139493e-05
pitd_std_14,3.0510041173199484e-05
tmoy1,3.355530702455808e-05
hdd_lag1,3.43393884242758e-05
sinus,3.864938554521136e-05
pitd_lag2,4.647920436586361e-05
weekdays,5.2073977000716834e-05
lag1_to_lag7_ratio,5.517076653093738e-05
rolling_hdd_7,5.599633401121434e-05
weekend_cold,6.224206008286198e-05
hdd_lag2,6.591453104187183e-05
pitd_ma_3,7.420489516965102e-05
pitd_ma_14,7.564004303696245e-05
hdd_lag3,8.458787694035526e-05
pitd_ewm_14,8.60009671526751e-05
li_terega,0.0001013076445634387
pitd_lag14,0.0001053768675021459
hdd_lag7,0.00012336451399289923
isWeekday,0.0001538199733566871
pitd_ma_7,0.00016021680780721505
tmoy2,0.0001651048360975689
doy,0.00017870692837712726
pitd_ewm_3,0.00019407929502870646
ponts_publics_abc,0.0002018536266050093
daydur,0.0002070253949961279
pitd_ewm_7,0.00025001688885917527
teff_cwv_diff_1,0.00025541648523095975
li,0.00039852417706911624
teff_constr,0.0004173480801697568
pitd_lag7,0.00042124312153780897
cosinus,0.0005573849285931334
teff_constr_diff_1,0.0007951538585274816
teff_optim,0.0008113415763459496
tmoy_diff_1,0.0008446139298775854
year,0.0017041471124733519
teff_cwv,0.001718140891104309
wday,0.0022039285107332074
hdd_bizday,0.0026960587327774154
hdd,0.0042436784890824645
temp_mean,0.009400660262677562
pitd_lag1,0.9269320451298313
