feature,mean_importance
mday,-6.729029744344546e-05
pitd_std_3,-3.130725468108303e-05
holidays,-3.029725802691993e-05
tmoy_diff_1,-1.4383387788601855e-05
month,0.0
below16.5_abc,0.0
ponts_extended_abc,1.2192606432866876e-07
public_holidays,9.293851464907757e-07
noel.structural,1.5423484141047218e-06
extended_holidays,4.032655711632902e-06
season_astrono,5.323148930853547e-06
dow,1.4426693418827241e-05
ponts_publics,2.0826708108010948e-05
ponts_extended,2.46538970975008e-05
isWeekday,3.0619742978009803e-05
etats,3.36943131770899e-05
not_weekend,4.117448557773833e-05
weekend,5.3569030489156354e-05
season_metero,5.503788154903148e-05
pitd_lag3,7.162817521091519e-05
isHoliday,7.567412069610317e-05
weekend_winter,8.671236380307524e-05
weekend_cold,8.759308949780973e-05
hdd_lag14,8.998020775581837e-05
below16.5,9.329356235785319e-05
season,0.00011029923007691861
teff_constr_diff_1,0.00012043836952569786
sinus,0.00012474329432007707
weekdays,0.00014686290962118918
isBizday,0.00015932853314550092
teff_optim_diff_1,0.0001766025310836517
tmoy2,0.00023225850605637974
tmoy1,0.0002392949003499994
nmonth,0.00024327664618795566
pitd_ma_7,0.00025414326060988894
isWeekend,0.0002771332580876907
ponts_publics_abc,0.0002847097496035228
quarter,0.00028741983689817144
woy,0.0002999201668517722
pitd_std_7,0.0003418503755897145
days_to_holiday,0.00038620457274902325
hdd_lag7,0.0003971408941325258
tmoy_lag7,0.0004256639460934908
teff_cwv_diff_1,0.00046087401194095794
doy,0.0005024456304954788
aout.structural,0.0005448785674655743
li,0.0005503174672570639
li_terega,0.0006260248546459875
is_winter,0.0006261277857601925
wday,0.0007059227791785911
tmoy_lag2,0.0007094287882894063
daydur,0.0007468330286379247
hdd_bizday,0.0008015909959366354
tmoy_lag14,0.0009141040936396899
hdd_lag2,0.001111815657939213
pitd_std_14,0.0011915663925103777
pitd_lag14,0.0015445096949635979
tmoy_lag3,0.0015605276469089556
lag1_to_lag7_ratio,0.0017788899123317389
type_vol,0.001908316626606997
pitd_lag2,0.0020985019705926887
rolling_hdd_7,0.002297435984588752
hdd_lag1,0.0024772285374916507
teff_constr,0.0026351371002407255
pitd_ewm_14,0.002656660107657337
pitd_ma_14,0.002775733636961493
hdd_lag3,0.0029555530799971128
cosinus,0.00436695081460107
pitd_ewm_7,0.004572330446005578
hdd,0.00525141027194729
tmoy_lag1,0.005572209364409649
pitd_lag7,0.007480842128291655
year,0.008718373829164874
pitd_ma_3,0.0156408010323019
teff_optim,0.01616199171325124
temp_mean,0.019047389421147913
teff_cwv,0.023093569827817222
pitd_ewm_3,0.02508359194980319
tmoy,0.03275485336348083
pitd_lag1,0.05793151678364068
