feature,mean_importance
tmoy,-0.00016284187674968088
mday,-7.279054495215546e-05
pitd_lag3,-5.717682237839101e-05
li_terega,-4.9927150248773626e-05
hdd,-4.700504994686033e-05
season,-4.166810983905964e-06
tmoy_lag2,-2.038104173480472e-06
hdd_lag1,-1.2060111664690884e-06
month,-1.1251182698596151e-06
isWeekend,-7.306498130573575e-07
season_metero,-4.4561874203430386e-07
days_to_holiday,-2.696599917421244e-07
below16.5,0.0
isHoliday,0.0
is_winter,0.0
quarter,0.0
not_weekend,0.0
noel.structural,0.0
below16.5_abc,0.0
weekend,0.0
extended_holidays,1.809267279606619e-07
isBizday,2.1021676565539243e-07
ponts_publics,7.565826285584401e-07
weekend_winter,8.663373272373847e-07
type_vol,1.0943976561561889e-06
public_holidays,1.7338281523704078e-06
pitd_lag2,3.42488474167138e-06
holidays,4.499514966591241e-06
lag1_to_lag7_ratio,4.869189989416614e-06
tmoy_lag1,5.278998115065825e-06
tmoy_lag7,5.3169661311240625e-06
ponts_extended,6.512214211768993e-06
pitd_std_7,6.6706178053533434e-06
etats,7.053170332902911e-06
ponts_extended_abc,8.579703985316968e-06
tmoy_lag3,8.699660341121054e-06
weekend_cold,9.096373574756476e-06
season_astrono,1.1306589427572712e-05
tmoy_lag14,1.2602028428795875e-05
dow,1.3917256754760257e-05
pitd_ma_14,1.4371922089196319e-05
aout.structural,1.4404870490567628e-05
pitd_std_3,1.5371712184059257e-05
tmoy1,1.551985179266014e-05
nmonth,1.5743093175969725e-05
hdd_lag3,1.725950669488434e-05
hdd_lag2,1.8089990130562042e-05
woy,1.8672463051149812e-05
pitd_lag14,2.7218481170330525e-05
doy,3.462142303755095e-05
tmoy2,3.531847902804221e-05
weekdays,3.702345694698798e-05
rolling_hdd_7,3.8199799821735275e-05
pitd_std_14,4.3609688740137326e-05
pitd_ma_7,4.8997448994203896e-05
hdd_lag14,6.672247878286279e-05
teff_cwv_diff_1,7.2298659976823e-05
pitd_ewm_14,7.843562590383462e-05
daydur,8.057757443202824e-05
hdd_lag7,8.450898743590039e-05
sinus,8.724411973351723e-05
ponts_publics_abc,9.993295396978144e-05
teff_constr,0.0001294288439219046
teff_optim,0.0001351038654677058
cosinus,0.00014179252482459244
pitd_ewm_7,0.00018985709667450977
pitd_ma_3,0.00019035015457229669
isWeekday,0.000198015663867797
tmoy_diff_1,0.00022138252816553822
pitd_lag7,0.00025101495169969814
teff_optim_diff_1,0.00031492592605884395
li,0.0003469736280602239
year,0.0009151163028297534
teff_constr_diff_1,0.0012414621989371535
pitd_ewm_3,0.001288252514424056
wday,0.0013118595097070152
hdd_bizday,0.0018427114744033683
temp_mean,0.003847143734970073
teff_cwv,0.005363386881065381
pitd_lag1,1.089780570208101
