feature,mean_importance
random_feature,-4.609385762567638e-05
holidays,-1.012055235656735e-05
mday,-9.828427643920716e-06
public_holidays,-2.1924607235705717e-06
teff_optim_diff_1,-1.1889440348928498e-07
weekend_winter,0.0
extended_holidays,0.0
weekdays,1.5970774340302516e-06
type_vol,8.040457032555335e-06
ponts_publics,9.365625323159467e-06
ponts_extended,1.2666873598740462e-05
isBizday,1.7508440751892383e-05
etats,1.7559274647176332e-05
noel.structural,1.8003172986380025e-05
ponts_extended_abc,2.2279059731786406e-05
aout.structural,2.4373276153781542e-05
month,2.6061142090681723e-05
days_to_holiday,3.211451270004051e-05
dow,4.1606054189846296e-05
not_weekend,4.4638640325896095e-05
teff_constr_diff_1,5.040655721861888e-05
isWeekday,5.37664757907506e-05
isHoliday,6.081860655471373e-05
isWeekend,6.885494035785907e-05
season_astrono,7.276028243200922e-05
pitd_std_3,7.631366600816606e-05
woy,8.467707031588125e-05
ponts_publics_abc,8.542617503975793e-05
weekend_cold,9.669901200855293e-05
below16.5_abc,9.955200146693385e-05
below16.5,0.0001200334951944099
weekend,0.00013464810766983753
nmonth,0.00015512190872028555
doy,0.00018742416147992763
sinus,0.00018822407988368373
tmoy_diff_1,0.0001911682801498499
hdd_lag7,0.00022793364581359335
quarter,0.00026871197456237674
li_terega,0.0003182331808163505
teff_cwv_diff_1,0.0003197011816636048
season_metero,0.0003491996415262986
hdd_lag14,0.0004216872721659045
pitd_lag14,0.0004223015795591412
pitd_std_7,0.0004253637335444838
hdd_lag3,0.000450806878353824
tmoy2,0.0004546321489528257
is_winter,0.0004967547062895905
lag1_to_lag7_ratio,0.0005075825025949325
tmoy_lag14,0.0006260039018794001
daydur,0.0006470112342469048
tmoy_lag3,0.0006538122085565587
pitd_std_14,0.0006740607988547347
li,0.0006961507271517978
pitd_ma_14,0.0007828623612053815
tmoy1,0.000829583599607134
wday,0.0008405942189872034
tmoy_lag7,0.0008542913443776966
cosinus,0.0012158140221087842
rolling_hdd_7,0.0013924551306914372
temp_mean,0.0014973506707826472
hdd_lag2,0.0015764824919071187
pitd_lag7,0.0015959428742358297
tmoy_lag2,0.0016126124184879548
pitd_lag3,0.0017739257557499856
pitd_ma_3_ratio_temp_mean,0.0018007034820406158
pitd_lag2,0.0018481695473041375
season,0.0019349239682371852
hdd_bizday,0.0019831332065952684
pitd_ma_7,0.0021638880483606368
hdd_lag1,0.0025237934920251917
pitd_ewm_14,0.0025935020215096956
tmoy_lag1,0.0026495907274134123
hdd,0.0028381143115751174
teff_constr,0.0029770193053164458
pitd_ma_3,0.0031238755347408847
pitd_ma_3_ratio_tmoy,0.0031359944830400147
pitd_lag1_ratio_tmoy,0.003466073523235248
tmoy,0.003699909996362391
pitd_lag1_ratio_temp_mean,0.004231584451523789
pitd_ewm_3_ratio_temp_mean,0.004293614707513154
teff_optim,0.004604336537829849
pitd_ewm_3_ratio_tmoy,0.004753720158730486
pitd_ewm_7,0.005768313053688638
teff_cwv,0.005910271796993559
year,0.005969340043012926
temp_mean_ratio_pitd_lag1,0.007585771786601114
pitd_ewm_3,0.00966988538516303
tmoy_ratio_pitd_ewm_3,0.010542677812122528
temp_mean_ratio_pitd_ewm_3,0.011797551295476966
pitd_lag1,0.02677947234522964
tmoy_ratio_pitd_lag1,0.0286849311922171
