feature,mean_importance
teff_optim_diff_1,-9.564358874890842e-05
weekdays,-9.555928970466852e-06
ponts_extended,-8.560439806754722e-08
extended_holidays,-1.2860690402557996e-08
ponts_publics,0.0
public_holidays,1.7943792900152953e-06
holidays,1.8991804562825537e-06
dow,1.971928631328869e-06
month,2.1945686633332436e-06
not_weekend,3.5771582754582852e-06
weekend,5.820704337294348e-06
aout.structural,6.432222609499029e-06
mday,7.818624102043544e-06
isBizday,2.1929272550466963e-05
teff_constr_diff_1,2.2621343139611444e-05
ponts_publics_abc,2.5025056907078576e-05
noel.structural,2.991869196156769e-05
weekend_winter,3.0021253275805405e-05
days_to_holiday,3.421960763792843e-05
ponts_extended_abc,4.1110624286673156e-05
tmoy_lag3,4.168648722405726e-05
weekend_cold,4.2963216369246333e-05
below16.5_abc,4.383517886778869e-05
isWeekend,5.260650946117256e-05
quarter,6.84835449219108e-05
pitd_std_3,7.888033604650166e-05
Dist_Cluster_15,7.968040711104021e-05
hdd_lag3,8.44865159512962e-05
Dist_Cluster_21,8.889951586262129e-05
tmoy_diff_1,9.147468228112836e-05
sinus,0.00011469748039758982
Dist_Cluster_6,0.00012088394308516943
tmoy_lag7,0.00013327009615821342
tmoy_lag14,0.00013673170346353657
isHoliday,0.00013750175748849028
Cluster,0.00014522314111233212
Dist_Cluster_1,0.0001530896993302177
Dist_Cluster_14,0.00015988505042427073
Dist_Cluster_5,0.0001639994389181167
woy,0.00017263512265225638
hdd_lag14,0.00017559209865866243
isWeekday,0.00018361110668754145
type_vol,0.0001891259073421905
below16.5,0.00019853748221798656
nmonth,0.0002516180593708903
Dist_Cluster_13,0.00025613074125200154
Dist_Cluster_19,0.0002689862544577223
etats,0.0002717566903821276
teff_cwv_diff_1,0.00029898421103343
Dist_Cluster_10,0.0003017158529960465
Dist_Cluster_4,0.00032379255004317696
Dist_Cluster_3,0.0003250919724081088
doy,0.0003280692802015232
pitd_std_7,0.00035663016189768133
Dist_Cluster_7,0.0003909517539867688
season_astrono,0.0004284241560124018
pitd_ma_14,0.00044944609542551666
Dist_Cluster_16,0.00045300788028250684
Dist_Cluster_18,0.0004573091785199719
li_terega,0.0004689905488194708
daydur,0.0005181092674647952
Dist_Cluster_2,0.0005538823681384095
Dist_Cluster_11,0.0005636275364837042
li,0.0005686821802396117
Dist_Cluster_24,0.0005853247164532803
Dist_Cluster_22,0.0005921539541912331
Dist_Cluster_9,0.0006145587805765913
pitd_std_14,0.0006278593720209407
wday,0.0006419846553280987
tmoy_lag2,0.0006606227864357873
Dist_Cluster_0,0.000664243249714281
Dist_Cluster_8,0.0006861921331158703
hdd_lag7,0.000739369449058954
Dist_Cluster_20,0.0008011911649049161
hdd_lag2,0.0008136859483354889
is_winter,0.0009032470453713833
season_metero,0.0009427378418527539
lag1_to_lag7_ratio,0.0009525975917026181
Dist_Cluster_12,0.0009538997579312921
tmoy2,0.0010886071022928572
pitd_lag14,0.0011404843379296814
cosinus,0.0012378898517059326
Dist_Cluster_23,0.0013761669119780851
pitd_lag7,0.001434010663468774
pitd_ewm_14,0.0014773505500536583
tmoy1,0.001597830662658458
pitd_lag3,0.0018407209024964067
season,0.001861811230302711
hdd_bizday,0.002407486385460496
pitd_ma_7,0.002443902513433688
pitd_lag2,0.002862523094997317
hdd_lag1,0.002870675309898596
Dist_Cluster_17,0.0034495151708267653
rolling_hdd_7,0.0036499065923135234
tmoy_lag1,0.004038431770413662
pitd_ma_3,0.004731486039611208
pitd_ewm_7,0.005582062889821819
hdd,0.006609144913306901
teff_cwv,0.006672528945015671
year,0.006905834061194584
teff_constr,0.0075424655879109456
teff_optim,0.007930678904575758
pitd_ewm_3,0.009628596146130994
tmoy,0.018737649110102138
temp_mean,0.019950654710858523
pitd_lag1,0.03543226481927073
