feature,mean_importance
pitd_lag2,-8.835819062703553e-05
extended_holidays,-2.0368354111276013e-05
pitd_ma_3,-1.3396467977480445e-05
hdd_lag1,-9.188223476408117e-06
hdd_lag3,-8.896121926766678e-06
season_metero,-2.0488432155548256e-06
weekend_winter,-1.6346129405916954e-06
season_astrono,-6.177102326934692e-08
isHoliday,0.0
isBizday,0.0
isWeekend,0.0
quarter,0.0
type_vol,0.0
dow,0.0
weekend,0.0
below16.5_abc,0.0
below16.5,0.0
tmoy,0.0
is_winter,0.0
not_weekend,0.0
pitd_std_3,2.584165464426802e-08
days_to_holiday,2.525704797338296e-07
tmoy_lag1,1.5216657928052505e-06
tmoy_lag2,2.6798349481197208e-06
season,2.8915557921867578e-06
noel.structural,3.0883320150923778e-06
public_holidays,3.4505124657451675e-06
pitd_ma_14,4.648664616212043e-06
nmonth,5.297384158007602e-06
tmoy2,7.231572460708255e-06
holidays,7.902228859062166e-06
etats,7.953214594125583e-06
hdd_lag2,8.523952085501795e-06
tmoy_lag3,8.616770969041565e-06
woy,8.67394688951282e-06
tmoy_lag14,1.097966087796852e-05
aout.structural,1.1717326235486e-05
tmoy_lag7,1.2300384933841037e-05
ponts_extended,1.4673018156075371e-05
ponts_extended_abc,1.5129480649558532e-05
ponts_publics,1.7058386303330648e-05
sinus,3.791093412186669e-05
mday,3.815046953555504e-05
month,3.865878312360547e-05
rolling_hdd_7,3.890308847909838e-05
pitd_std_14,4.301113974589741e-05
weekend_cold,4.410137816057008e-05
pitd_lag3,4.55040830595924e-05
daydur,5.052773532206959e-05
hdd_lag14,5.189241473582493e-05
tmoy1,5.298471266394524e-05
ponts_publics_abc,5.55886201079948e-05
pitd_std_7,5.592542159450088e-05
lag1_to_lag7_ratio,6.10504749506767e-05
hdd_lag7,7.134893770937203e-05
weekdays,7.398175814572732e-05
pitd_ewm_3,8.75989408586313e-05
doy,9.197442416372537e-05
teff_constr,9.375661005028708e-05
pitd_ewm_7,0.00012089267467148453
tmoy_diff_1,0.00012907027085079897
li_terega,0.00013181582098108248
isWeekday,0.00014025795514742371
teff_cwv_diff_1,0.00014347017269951724
pitd_ma_7,0.00019564266052495734
teff_optim,0.0002624744846421691
teff_optim_diff_1,0.0003176640677762108
pitd_lag14,0.0004072422649682673
cosinus,0.00042356713771309095
pitd_ewm_14,0.00045637002959107546
pitd_lag7,0.00045765160729460306
li,0.0006468035119982261
year,0.0009242817165106297
teff_constr_diff_1,0.0009763940382926884
wday,0.0010793092200633814
teff_cwv,0.0011972021185010563
hdd,0.0015126753603077506
hdd_bizday,0.00200311140074414
temp_mean,0.0070714287639730335
pitd_lag1,1.1412130813960724
