feature,mean_importance
ponts_publics_abc,-8.743331985325287e-06
pitd_std_14,-6.352509365065151e-06
below16.5_abc,-5.980860750139441e-06
season_astrono,-5.909147206474563e-06
etats,-2.79344412997852e-06
tmoy_lag1,-2.5043593884006845e-06
holidays,-2.271002907240291e-06
tmoy1,-2.0154162914575584e-06
extended_holidays,-1.0480953893183403e-06
below16.5,-9.168223065715575e-07
is_winter,-2.215777125450652e-07
ponts_extended,2.5597709503097365e-08
public_holidays,1.728445813677093e-07
ponts_publics,2.779154714926263e-07
hdd_lag1,1.039283802297883e-06
weekdays,1.1627861774013427e-06
type_vol,1.496612420728502e-06
noel.structural,1.7211052674097338e-06
weekend_winter,1.8873410097364902e-06
aout.structural,1.901621607753104e-06
season_metero,2.229494784023248e-06
season,3.4882820826701718e-06
dow,3.5938412261678905e-06
rolling_hdd_7,4.2489951920066795e-06
lag1_to_lag7_ratio,4.841056928127363e-06
ponts_extended_abc,5.586899983261312e-06
pitd_lag3,6.05974618317906e-06
quarter,6.966176745345359e-06
hdd_lag2,6.98656088656234e-06
weekend_cold,8.41901367242652e-06
not_weekend,1.159164367676678e-05
month,1.2538802708379412e-05
weekend,1.3872609587243373e-05
hdd_lag14,1.394500387141978e-05
hdd_lag3,1.5887170624630936e-05
nmonth,1.60475905973477e-05
isWeekend,1.616964878433415e-05
isBizday,1.619484959107034e-05
tmoy_lag14,1.7689841390496412e-05
isWeekday,2.0874048143817645e-05
days_to_holiday,2.3239863185588185e-05
tmoy_lag7,2.6432518829110422e-05
tmoy_lag3,2.7736990725178017e-05
isHoliday,2.8255699140191866e-05
pitd_std_7,2.9247073599506304e-05
mday,3.0212954590192603e-05
woy,3.057916554690225e-05
pitd_std_3,3.392495540359038e-05
sinus,3.638816711352098e-05
li_terega,4.329397622189861e-05
tmoy2,5.260932516778227e-05
pitd_ma_14,6.213914416033465e-05
tmoy_lag2,6.889566845597015e-05
pitd_ma_7,7.126453875647559e-05
doy,7.209989751183615e-05
hdd_lag7,7.276095134702252e-05
daydur,8.79745635459686e-05
cosinus,9.601233204368821e-05
wday,0.00011855054259968036
pitd_lag2,0.00014184539454385365
pitd_lag14,0.00016335676332567898
li,0.00020191080412835795
pitd_ewm_14,0.00022519840897238275
pitd_ma_3,0.00024831167954147694
year,0.000271430663905645
tmoy_diff_1,0.0002900687732170611
pitd_ewm_7,0.00037365190875622843
pitd_lag7,0.0003982363782466743
teff_optim_diff_1,0.0005944817896416717
hdd_bizday,0.0006512412528857307
teff_constr_diff_1,0.0007005637712840643
hdd,0.0007045251258561578
teff_cwv_diff_1,0.0007245089178885375
temp_mean,0.0010570269026569385
tmoy,0.0011231441989514456
teff_optim,0.002257331519271474
teff_constr,0.003355228319148242
teff_cwv,0.017398022233788384
pitd_ewm_3,0.02472884572243262
pitd_lag1,0.4425248245575702
