feature,mean_importance
teff_optim_diff_1,-0.0001037845479221016
extended_holidays,-2.107336911887532e-05
tmoy_lag3,-6.041773228311099e-06
weekdays,-2.7809933331787023e-07
weekend_winter,0.0
ponts_extended,0.0
not_weekend,1.1606151862767964e-06
month,1.90287286852657e-06
below16.5_abc,5.1150245885204365e-06
isWeekend,6.405916547520471e-06
isHoliday,1.1149237370029763e-05
isBizday,1.2628921272259467e-05
ponts_extended_abc,1.2747586584546146e-05
holidays,1.3918851016309595e-05
aout.structural,1.676683722630669e-05
tmoy_lag7,2.011930260712863e-05
public_holidays,2.7898976699077677e-05
ponts_publics,2.8666818498534337e-05
dow,3.041001768939091e-05
season_metero,3.424086092527444e-05
weekend,3.4434572498977244e-05
days_to_holiday,3.557186988361865e-05
hdd_lag14,4.005584381337451e-05
noel.structural,5.424470336473381e-05
daydur,9.478121310599677e-05
tmoy_lag14,9.696280218041229e-05
hdd_lag3,0.0001060572776469015
ponts_publics_abc,0.00010676465874130611
season_astrono,0.00010981120708667777
woy,0.00012201324207479058
tmoy_lag2,0.0001435705545938904
tmoy_diff_1,0.00014523618901401432
teff_cwv_diff_1,0.0001708476181171271
nmonth,0.00017178006949027918
mday,0.00017525755633969153
tmoy1,0.00020160522352912839
pitd_std_3,0.0002139334940139804
pitd_ewm_14,0.00021758994651542002
doy,0.00022464514132737728
teff_constr_diff_1,0.0002332005449730133
quarter,0.0002741129679442091
isWeekday,0.00028340408021100045
hdd_lag7,0.00032371394413263904
pitd_std_7,0.00033529028089553103
rolling_hdd_7,0.0003426006707873925
li_terega,0.0003575096821971033
li,0.0004995068317840754
season,0.0005236512327242542
pitd_std_14,0.0005664709230379471
weekend_cold,0.0006355243210290979
sinus,0.0006491122518230544
etats,0.0007220696231886092
hdd_bizday,0.0007807647323536908
teff_cwv,0.0008772541523002495
wday,0.0008895356043782095
below16.5,0.0014286700543637524
tmoy2,0.0014319425124945575
lag1_to_lag7_ratio,0.0014368857607773588
is_winter,0.0014638181705708153
hdd_lag2,0.0018132237367223872
pitd_lag14,0.0018753550730368693
tmoy_lag1,0.001975548822989749
cosinus,0.002336852280659573
type_vol,0.0034543536606767246
pitd_lag3,0.0035556802178760985
pitd_lag7,0.0038637377840798097
hdd_lag1,0.004416056150506857
pitd_ma_14,0.004470417696128751
year,0.00611779344281804
pitd_ma_7,0.006883805274112771
pitd_ewm_3,0.009022890425591085
teff_constr,0.010907604277333291
pitd_ewm_7,0.012619089597849308
pitd_ma_3,0.012718977205676723
teff_optim,0.015050663213099797
pitd_lag2,0.016606758892544187
temp_mean,0.01935656751333619
tmoy,0.021126310283812767
hdd,0.029068402390057136
pitd_lag1,0.04618544801510509
