feature,mean_importance
pitd_ma_3_ratio_tmoy,-4.744361915376711e-05
tmoy,-3.4866522831376e-05
ponts_extended_abc_SundayOrHoliday,-2.7172305734734537e-05
pitd_lag2,-2.7019712024460053e-05
tmoy_lag3,-2.6898775566813055e-05
teff_optim,-2.679243872773067e-05
ponts_publics_abc_Friday,-1.5087537054739828e-05
pitd_ewm_3_ratio_tmoy,-1.4846151990481442e-05
hdd_lag2,-1.322254033280599e-05
teff_cwv,-1.2670394908619563e-05
ponts_extended_abc_Wednesday,-8.287387046935872e-06
li_terega,-6.531432876689773e-06
month_April,-6.345304967790045e-06
weekdays_Friday,-5.812294912312631e-06
etats,-5.014947103889992e-06
weekdays_Thursday,-5.008499537843478e-06
ponts_publics_abc_Saturday,-2.6865345475982074e-06
dow_Monday,-2.1660305530057584e-06
is_winter,-2.106527264075092e-06
season_low_season,-1.6087709622605167e-06
type_vol_vol_zero,-1.5177345666580327e-06
season_astrono_Summer,-8.805960352241058e-07
noel.structural,-8.098822773985881e-07
month_May,-3.9146456276267087e-07
ponts_extended_abc_Saturday,-1.519549674675741e-07
month_January,-6.791907833231247e-08
month_March,-4.519912084506583e-08
month_August,-3.8556401518556604e-08
dow_Sunday,-2.177496526579309e-08
dow_Wednesday,-1.4728286403149771e-08
dow_Tuesday,-1.7019834082018792e-09
season_metero_Summer,0.0
ponts_publics_abc_AdjToHoliday,0.0
isBizday_True,0.0
below16.5,0.0
season_off_season,0.0
isWeekend_True,0.0
isWeekday_True,0.0
below16.5_abc_hot,0.0
public_holidays_BoxingDay,0.0
public_holidays_ChristmasDay,0.0
public_holidays_EasterMonday,0.0
public_holidays_FRArmisticeDay,0.0
public_holidays_FRAssumptionVirginMary,0.0
public_holidays_FRBastilleDay,0.0
public_holidays_FRFetDeLaVictoire1945,0.0
public_holidays_GoodFriday,0.0
public_holidays_LaborDay,0.0
public_holidays_NewYearsDay,0.0
public_holidays_PentecostMonday,0.0
month_December,0.0
public_holidays_FRAllSaints,0.0
isHoliday_True,0.0
quarter,9.347301522816959e-08
weekdays_Sunday,1.1669592046379546e-07
ponts_publics_abc_Tuesday,1.4088901189347746e-07
weekdays_Wednesday,1.608738924437428e-07
season_metero_Winter,2.0504082472328626e-07
month_September,2.3453583604046702e-07
season_metero_Fall,2.469029122731739e-07
month_June,3.389572136042879e-07
season_peak_season,4.053212977530099e-07
dow_Friday,4.3068745699606504e-07
dow_Saturday,4.643176375728614e-07
month_November,6.036153182236922e-07
ponts_extended_abc_Tuesday,6.559108178571735e-07
dow_Thursday,6.911654005832199e-07
season_astrono_Spring,7.312969026663369e-07
ponts_extended_abc_AdjToHoliday,8.29035340708939e-07
ponts_publics_abc_Wednesday,8.426446834649756e-07
month_July,8.559858410705362e-07
aout.structural,9.609383979780963e-07
season_astrono_Winter,1.1117455312455866e-06
public_holidays_FRAscension,1.2051364911832425e-06
season_metero_Spring,1.5794861426561558e-06
weekdays_Saturday,2.085186311343544e-06
month_February,2.3393485643296434e-06
season_astrono_Autumn,2.4086161940386e-06
ponts_publics,3.5130033554164193e-06
ponts_extended,4.121221166524143e-06
ponts_extended_abc_Friday,4.622119242262378e-06
weekdays_Tuesday,5.352197919343549e-06
nmonth,6.050087429239001e-06
sinus,7.605306886746682e-06
ponts_publics_abc_Thursday,8.032100271886458e-06
month_October,1.0311154253086173e-05
tmoy_lag7,1.0860713925725345e-05
ponts_publics_abc_SundayOrHoliday,1.1553201269769164e-05
ponts_extended_abc_Thursday,1.167087187996102e-05
pitd_std_3,1.2555622517197717e-05
days_to_holiday,1.3568297684006525e-05
public_holidays_NotAHoliday,1.5502806223003165e-05
tmoy_lag1,1.5842715559054482e-05
not_weekend,1.62066572987455e-05
woy,2.0207556095667817e-05
pitd_ma_3_ratio_temp_mean,2.060915561943044e-05
pitd_lag3,2.265528085676899e-05
teff_constr,2.4058900321048856e-05
rolling_hdd_7,2.8120692988259887e-05
tmoy_lag14,3.0472930939290725e-05
pitd_std_14,4.722611270062734e-05
tmoy_lag2,4.850172103561708e-05
daydur,5.050177886259354e-05
teff_constr_diff_1,5.356394792330067e-05
hdd_lag1,6.0391147178185876e-05
weekend_cold,6.41905234791849e-05
hdd,6.613270402155494e-05
weekdays_Monday,7.013859054093245e-05
ponts_extended_abc_Monday,7.165543569917845e-05
lag1_to_lag7_ratio,7.41936230887516e-05
hdd_lag7,7.480893162325076e-05
tmoy2,7.813797152131166e-05
pitd_ma_14,7.863652756572755e-05
hdd_lag3,8.830675853864367e-05
pitd_ma_7,9.607622256829866e-05
hdd_lag14,0.00011391144500095453
teff_cwv_diff_1,0.00011727492446885115
pitd_std_7,0.00012105335525942184
pitd_ewm_14,0.00013180770477084006
pitd_ma_3,0.00013312757129764903
ponts_publics_abc_Monday,0.00014744445970742062
pitd_ewm_7,0.0001578556911559335
temp_mean,0.0001630596191376921
pitd_ewm_3,0.00016336276945533144
weekend,0.00016672077658980554
pitd_lag14,0.00017626027899938362
cosinus,0.00017779247500222735
doy,0.00020154657054153834
tmoy_diff_1,0.00022715322892608356
tmoy1,0.00026120118094053233
pitd_lag7,0.0003715085885591116
wday,0.000553180525744998
li,0.0005987140394356294
hdd_bizday,0.0006159454027286286
tmoy_ratio_pitd_ewm_3,0.0011629039239504009
pitd_ewm_3_ratio_temp_mean,0.001171822142218466
pitd_lag1_ratio_temp_mean,0.0018163624594353656
year,0.0020267894691840425
tmoy_ratio_pitd_lag1,0.005609907551218761
pitd_lag1_ratio_tmoy,0.0262949629858261
temp_mean_ratio_pitd_ewm_3,0.03868974525220734
pitd_lag1,0.05362160684832744
temp_mean_ratio_pitd_lag1,0.3589582714504299
