feature,mean_importance
teff_constr_diff_1,-6.882205352024481e-05
ponts_extended_abc,-1.354330714791862e-05
weekdays,1.4702693784581985e-06
ponts_extended,5.123781549959232e-06
days_to_holiday,1.4874289738750143e-05
ponts_publics,1.5546008208307606e-05
isWeekend,2.109645677762402e-05
isBizday,2.235801190191792e-05
weekend,2.8979774913929016e-05
noel.structural,4.002317312396964e-05
not_weekend,4.164165506312552e-05
etats,5.427598406345484e-05
season_metero,6.780704445639996e-05
teff_cwv_diff_1,7.02385635236268e-05
isWeekday,7.312540916003772e-05
weekend_cold,8.99130733202802e-05
month,0.00010211350882688829
hdd_lag3,0.00010556342286111523
dow,0.00011308791923959026
pitd_std_3,0.00011929848702621117
nmonth,0.00012201960526312689
below16.5,0.0001382703248251342
aout.structural,0.00014983134373442643
isHoliday,0.00016334390909256009
quarter,0.00017215690970682086
tmoy_diff_1,0.0002003505593906373
sinus,0.0002459348647694093
ponts_publics_abc,0.00024930426143664165
tmoy_lag14,0.0002813976897095373
type_vol,0.0003114102449630854
below16.5_abc,0.0003346090566260829
doy,0.0003360203377621345
tmoy_lag7,0.0003754223793177684
woy,0.0004422585459025151
hdd_lag14,0.000478844350746282
pitd_lag3,0.00048824108830316186
tmoy_lag3,0.0004950486627275528
tmoy2,0.0005079587426745607
lag1_to_lag7_ratio,0.0005088766053230078
pitd_std_7,0.0005121917094021881
hdd_lag2,0.000528234394521194
li,0.0005479034228570214
li_terega,0.0005845446292460773
pitd_lag14,0.0006193518397524004
hdd_lag1,0.0006274997200912582
wday,0.0007513939031134079
daydur,0.0007729713638186953
pitd_std_14,0.000786361390935506
pitd_lag7,0.0008001582008073727
pitd_ewm_14,0.0008032908368700974
hdd_lag7,0.0010487393354447216
pitd_ma_3_ratio_temp_mean,0.0010878001313057559
season_astrono,0.0010950275815076638
season,0.0012219194857417486
tmoy_lag1,0.0012460007571942614
is_winter,0.00146063750424614
pitd_lag2,0.0016569704558790452
hdd_bizday,0.0018389820719456114
cosinus,0.0020027193911046843
rolling_hdd_7,0.0021539722548065596
teff_optim,0.002156794967341805
tmoy1,0.002431679822624517
tmoy_lag2,0.002541541765773202
pitd_ewm_3,0.002547017132384301
temp_mean,0.0041189639504866605
pitd_ma_14,0.004120383010580887
pitd_ewm_3_ratio_tmoy,0.00426839503788978
pitd_ma_3_ratio_tmoy,0.004339944870786937
pitd_ma_7,0.004420563384815534
pitd_ewm_3_ratio_temp_mean,0.004429972164808034
pitd_lag1_ratio_temp_mean,0.005344054228411619
teff_cwv,0.005674184780465447
pitd_lag1_ratio_tmoy,0.0058301727079840705
year,0.006073468919926073
teff_constr,0.007989773476041883
pitd_ewm_7,0.008128793325228274
tmoy,0.008851497584053018
pitd_ma_3,0.009008976747216332
tmoy_ratio_pitd_lag1,0.009997836498029313
temp_mean_ratio_pitd_ewm_3,0.011589785825788254
temp_mean_ratio_pitd_lag1,0.013219023453180396
hdd,0.013449412457677733
tmoy_ratio_pitd_ewm_3,0.019084598821642196
pitd_lag1,0.030317724618668385
