feature,mean_importance
pitd_ma_3,-2.077414550020057e-05
pitd_lag14,-5.225198964902561e-06
weekend_cold,-1.3877787807814458e-18
season_astrono,-1.3877787807814458e-18
public_holidays,-6.938893903907229e-19
isBizday,-6.938893903907229e-19
below16.5,-6.938893903907229e-19
isWeekday,-6.938893903907229e-19
ponts_publics_abc,0.0
ponts_extended,0.0
tmoy_lag2,0.0
weekend,0.0
isHoliday,0.0
dow,0.0
isWeekend,0.0
ponts_publics,0.0
hdd_lag14,0.0
tmoy2,0.0
pitd_std_14,0.0
aout.structural,6.938893903907229e-19
noel.structural,6.938893903907229e-19
season_metero,6.938893903907229e-19
weekend_winter,6.938893903907229e-19
tmoy1,6.938893903907229e-19
sinus,6.938893903907229e-19
weekdays,6.938893903907229e-19
pitd_ma_14,6.938893903907229e-19
below16.5_abc,6.938893903907229e-19
extended_holidays,1.3877787807814458e-18
li_terega,1.3877787807814458e-18
hdd_lag3,1.3877787807814458e-18
year,1.3877787807814458e-18
not_weekend,1.3877787807814458e-18
wday,1.3877787807814458e-18
holidays,1.3877787807814458e-18
hdd_lag2,1.3877787807814458e-18
tmoy_lag14,1.3877787807814458e-18
tmoy_lag7,1.3877787807814458e-18
hdd_lag1,2.0816681711721684e-18
pitd_lag3,2.0816681711721684e-18
pitd_lag2,2.0816681711721684e-18
tmoy_lag3,2.0816681711721684e-18
pitd_std_7,2.0816681711721684e-18
li,2.0816681711721684e-18
quarter,2.0816681711721684e-18
nmonth,2.0816681711721684e-18
etats,2.7755575615628915e-18
mday,2.7755575615628915e-18
is_winter,2.7755575615628915e-18
lag1_to_lag7_ratio,2.7755575615628915e-18
hdd_lag7,2.7755575615628915e-18
ponts_extended_abc,3.469446951953614e-18
pitd_std_3,3.469446951953614e-18
season,3.469446951953614e-18
days_to_holiday,4.163336342344337e-18
cosinus,4.163336342344337e-18
tmoy_lag1,5.551115123125783e-18
type_vol,5.551115123125783e-18
daydur,3.276664888189618e-07
woy,4.38376713218086e-07
doy,2.164998551860975e-06
month,2.4926711452093185e-06
rolling_hdd_7,9.130872406454964e-06
pitd_ewm_14,1.3833492752805821e-05
pitd_ma_7,2.7115077672058842e-05
pitd_ewm_7,4.187997349355335e-05
teff_constr,0.00019120141451122173
tmoy_diff_1,0.00019430503615054662
teff_optim_diff_1,0.00031016401181351916
hdd_bizday,0.00038403630306153776
teff_cwv_diff_1,0.00046455731634843236
teff_constr_diff_1,0.00047449350191619484
teff_optim,0.0005587161795605575
pitd_lag7,0.0008065094073965711
tmoy,0.0008218051602420902
temp_mean,0.0008266455015066475
hdd,0.0012434669238588318
teff_cwv,0.0017471301965014598
pitd_ewm_3,0.0025573854407022144
pitd_lag1,1.3453980480418024
