feature,mean_importance
hdd_lag1,-1.5152249771310453e-05
pitd_lag3,-1.1169092324305601e-05
noel.structural,-6.792705073028344e-06
ponts_extended_abc,-5.26224443500034e-06
ponts_publics_abc,-4.678252277573458e-06
quarter,-2.4182136093762323e-06
below16.5,-2.032714265666133e-06
weekdays,-1.7860339118814377e-06
season_metero,-1.779678843301033e-06
type_vol,-1.302904048861367e-06
is_winter,-1.286984935740254e-06
below16.5_abc,-1.2214655235522065e-06
season_astrono,-8.883065500106535e-07
etats,-2.862863465395715e-07
ponts_publics,1.3877787807814458e-18
ponts_extended,2.0816681711721684e-18
season,9.779359494387074e-07
aout.structural,1.1057021938196133e-06
pitd_lag2,1.464480859167394e-06
tmoy_lag1,3.281665498872793e-06
nmonth,5.6359644226795794e-06
isHoliday,6.556856599138072e-06
isBizday,7.022234533587621e-06
hdd_lag3,9.74360986671155e-06
hdd_lag14,9.851263950664754e-06
dow,1.1274541900427662e-05
tmoy_lag14,1.1633291537462356e-05
isWeekday,1.1829361080754885e-05
pitd_std_3,1.2124738946622804e-05
days_to_holiday,1.3681640401420544e-05
weekend_cold,1.505548902491112e-05
isWeekend,1.5253566818039175e-05
rolling_hdd_7,1.541617330871256e-05
not_weekend,1.551871687999161e-05
weekend,1.8532907080264296e-05
sinus,2.1379958591835612e-05
li_terega,2.2498559296357454e-05
month,2.3005712647368794e-05
woy,2.8935827128048416e-05
pitd_std_14,2.9927860703524504e-05
hdd_lag2,2.9990620858973833e-05
tmoy_lag7,3.172396268648521e-05
hdd_lag7,3.339219336537386e-05
tmoy1,3.772889213257864e-05
lag1_to_lag7_ratio,3.907505653085244e-05
tmoy_lag2,4.061527614301168e-05
pitd_ma_14,5.3292565108873505e-05
tmoy_lag3,5.4957579988607064e-05
doy,5.6124897156830875e-05
daydur,7.128166501310166e-05
pitd_std_7,7.268006163595117e-05
tmoy2,7.785836818748233e-05
cosinus,8.092023542484519e-05
wday,0.0001097344484922328
li,0.000144524404965762
pitd_ewm_14,0.00015102284783932024
pitd_ewm_7,0.00019466130336793022
pitd_lag14,0.00020060057669608438
pitd_ma_7,0.00020457465552736336
year,0.00023920320269662197
pitd_lag7,0.0004548785692948743
pitd_ma_3,0.0005716022164211351
temp_mean,0.0005975637434899473
tmoy,0.0006337963269033943
teff_cwv_diff_1,0.0006737082547718789
tmoy_diff_1,0.0007106816989453271
hdd_bizday,0.0007895101880201954
hdd,0.0010024297743314267
teff_constr_diff_1,0.001189452972323881
teff_constr,0.002641247517885273
teff_optim,0.004520590632765327
pitd_ewm_3,0.019056303847433526
teff_cwv,0.022319671359208655
pitd_lag1,0.5195971527326924
