feature,mean_importance
type_vol,-4.3118019883753995e-05
below16.5_abc,-2.424294048831363e-05
ponts_extended_abc,-1.6925967252275424e-05
pitd_std_3,-1.623816053635506e-05
tmoy_lag7,-1.2877314324919939e-05
dow,-7.889053782548714e-06
extended_holidays,-2.247010173868358e-06
public_holidays,-1.3161102963451383e-06
season_metero,-8.201456503060395e-07
holidays,-7.686001151065158e-07
ponts_extended,1.3877787807814458e-18
ponts_publics,3.6657458730646186e-07
weekdays,7.217687400858791e-07
lag1_to_lag7_ratio,8.419706541622912e-07
nmonth,3.958632144808114e-06
pitd_std_7,4.311725739571115e-06
is_winter,6.187723785144525e-06
hdd_lag14,8.076872975529975e-06
tmoy_lag3,1.0739916123276087e-05
weekend_winter,1.2618086353561112e-05
ponts_publics_abc,1.4120736478999419e-05
etats,1.4302516179756988e-05
month,1.4657301356653386e-05
noel.structural,1.84140044400552e-05
woy,1.9413036127765085e-05
weekend_cold,2.2057888709870603e-05
tmoy_lag14,2.6136810710340394e-05
mday,2.7242579574236064e-05
below16.5,2.9297348855921585e-05
li_terega,2.9915991133756814e-05
hdd_lag3,3.0476441039672954e-05
pitd_std_14,3.190800910936806e-05
days_to_holiday,3.275747529175865e-05
sinus,3.3278818224526804e-05
doy,3.342335470898211e-05
quarter,3.414145633906102e-05
aout.structural,3.641244828904086e-05
hdd_lag7,3.731862985161261e-05
wday,4.166403932380491e-05
daydur,4.724300728473005e-05
isHoliday,5.261996041864177e-05
season_astrono,5.2949246735692e-05
hdd_lag2,5.99443462868339e-05
tmoy2,6.786480322738125e-05
isBizday,6.847534062075916e-05
not_weekend,6.932358882700377e-05
cosinus,7.047557334238438e-05
isWeekday,7.433682367269552e-05
tmoy_lag1,7.541326297899609e-05
isWeekend,8.26855455927887e-05
weekend,8.482343273788738e-05
tmoy_diff_1,8.698412390432641e-05
pitd_lag14,8.95178475157108e-05
season,9.043017403305916e-05
tmoy1,0.0001128415268088441
tmoy_lag2,0.00017010371504875416
pitd_lag7,0.00019832880428114104
teff_optim_diff_1,0.00022828562534586046
li,0.00023117520612106376
teff_constr_diff_1,0.00029393922286337153
teff_cwv_diff_1,0.00031745076421699594
pitd_ma_14,0.00041338400635113624
pitd_lag3,0.000417601846945807
pitd_ma_7,0.0006414263990813691
hdd_bizday,0.0006828757954978854
pitd_ewm_14,0.0007336816281207189
rolling_hdd_7,0.0011496943280581897
year,0.0011909376999015048
teff_cwv,0.0014627291873535481
hdd_lag1,0.0016942023931091114
pitd_ewm_7,0.0023778431989178216
teff_constr,0.0026542154147767027
pitd_lag2,0.0027904827837867997
tmoy,0.00295954014983202
hdd,0.0039017856989061878
temp_mean,0.004483110560173228
pitd_ma_3,0.004757085406231065
teff_optim,0.00527907358523173
pitd_ewm_3,0.02837027913319646
pitd_lag1,0.047504725801781625
