feature,mean_importance
type_vol,-1.168001550415354e-05
etats,-1.0465851534902092e-05
noel.structural,-2.7755575615628915e-18
ponts_publics_abc,-2.7755575615628915e-18
isBizday,-2.0816681711721684e-18
holidays,-1.3877787807814458e-18
hdd_lag14,-1.3877787807814458e-18
hdd_lag3,-1.3877787807814458e-18
extended_holidays,-1.3877787807814458e-18
season_metero,-1.3877787807814458e-18
wday,-6.938893903907229e-19
tmoy_diff_1,-6.938893903907229e-19
tmoy_lag3,-6.938893903907229e-19
weekdays,-6.938893903907229e-19
weekend_winter,-6.938893903907229e-19
li_terega,-6.938893903907229e-19
tmoy_lag7,-6.938893903907229e-19
mday,-6.938893903907229e-19
sinus,0.0
public_holidays,0.0
ponts_extended,0.0
ponts_extended_abc,0.0
dow,0.0
tmoy_lag2,0.0
hdd_lag2,0.0
pitd_std_7,0.0
weekend_cold,0.0
pitd_std_14,0.0
hdd_lag7,0.0
tmoy_lag14,0.0
ponts_publics,6.938893903907229e-19
isHoliday,6.938893903907229e-19
tmoy2,6.938893903907229e-19
lag1_to_lag7_ratio,6.938893903907229e-19
is_winter,6.938893903907229e-19
pitd_std_3,6.938893903907229e-19
woy,1.3877787807814458e-18
nmonth,2.7755575615628915e-18
pitd_lag14,1.5042664184512776e-06
cosinus,2.3007592113120923e-06
isWeekday,8.460826470894218e-06
quarter,8.58646226332277e-06
weekend,8.857314964028085e-06
aout.structural,8.890740052948376e-06
days_to_holiday,9.367889956680975e-06
isWeekend,9.96201260338378e-06
not_weekend,1.1222655639125944e-05
teff_optim_diff_1,1.6424980084452784e-05
doy,1.9535837677728955e-05
daydur,2.08231365389569e-05
li,2.200673689146254e-05
month,3.118502307179888e-05
below16.5_abc,5.7464425211412735e-05
below16.5,6.253438531722902e-05
teff_constr_diff_1,8.048020544404177e-05
pitd_lag7,9.665848962865237e-05
season,0.00013469957923088332
teff_cwv_diff_1,0.00014680444022775117
season_astrono,0.00016943989882924407
tmoy1,0.000245708952031895
pitd_lag3,0.00027813802151473583
year,0.00034170181994800237
hdd_lag1,0.0004684773103237519
hdd_bizday,0.000496846050400336
rolling_hdd_7,0.0008661560276311305
pitd_ma_7,0.000877087459901267
pitd_ma_14,0.0010018856528358627
pitd_ewm_14,0.0012945403530138801
teff_optim,0.0022912734397547104
tmoy_lag1,0.0024608343642409957
temp_mean,0.00249577338721657
tmoy,0.0038484514196726223
hdd,0.0041420801477045814
pitd_ma_3,0.004794902951560898
teff_constr,0.006940473234779099
pitd_lag2,0.009207031009949433
pitd_ewm_7,0.00969537424654594
teff_cwv,0.016847851820190798
pitd_ewm_3,0.04430171570663612
pitd_lag1,0.08483220295724983
