feature,mean_importance
teff_constr_diff_1,-7.78676267824175e-05
teff_optim_diff_1,-5.0726991731669946e-05
mday,-3.7750116190637606e-05
pitd_std_3,-1.8303863670927552e-05
extended_holidays,-7.446813014402517e-06
weekdays,-2.2876673193485133e-06
month,-1.8746830073902015e-06
not_weekend,-7.638908011302348e-07
dow,-5.573126878783557e-07
weekend_winter,-4.423829656000078e-07
isBizday,5.4336341491410116e-06
holidays,7.2656938172053e-06
teff_cwv_diff_1,1.03198751736212e-05
ponts_extended,1.3985679628014322e-05
season_metero,1.4303459867221445e-05
aout.structural,1.5485982858632828e-05
ponts_extended_abc,1.877733915849906e-05
hdd_lag7,2.0446188514316835e-05
weekend_cold,2.1289770553415375e-05
ponts_publics,2.3300741569400908e-05
quarter,2.4342133791251974e-05
public_holidays,2.7652398576409435e-05
tmoy_lag14,2.814018989836277e-05
isWeekend,3.449449155757071e-05
tmoy2,4.333157924239252e-05
noel.structural,4.678509521036552e-05
tmoy_lag7,5.1340412462072546e-05
hdd_lag14,5.4927251551102964e-05
below16.5_abc,6.722199191334915e-05
below16.5,7.125128455777556e-05
isHoliday,7.242184839040389e-05
days_to_holiday,7.267087897531218e-05
hdd_lag2,8.03897890715298e-05
weekend,8.259804672144048e-05
season_astrono,8.815203143989689e-05
etats,9.55111234074612e-05
isWeekday,9.560791505814451e-05
type_vol,0.00011385564083182253
woy,0.00012697973209324347
pitd_ma_14,0.00012985929840864663
ponts_publics_abc,0.0001443726259826972
tmoy_diff_1,0.00014848500197706707
tmoy_lag3,0.00016519043861965496
hdd_lag3,0.0001721066000422631
nmonth,0.00020977676356313742
sinus,0.00025527651651311036
pitd_std_14,0.00026723886920253654
pitd_std_7,0.000269500218923097
pitd_ewm_3_ratio_temp_mean,0.0003460210638258094
is_winter,0.0003573331679186375
li_terega,0.00037440028370772495
cosinus,0.0004593743662182242
doy,0.0004687189692047896
tmoy_lag1,0.0005132138679810038
li,0.0005238298125738252
lag1_to_lag7_ratio,0.0005366231870912372
daydur,0.0005826018865672617
tmoy_lag2,0.0006866448616098872
teff_constr,0.0007324455511067949
rolling_hdd_7,0.0007883664976576297
hdd_lag1,0.0009662528782495648
wday,0.001073555885038922
pitd_lag14,0.0011940312593397707
hdd_bizday,0.001226661865792006
pitd_ewm_14,0.0012353800206609503
pitd_lag3,0.0012957674972156386
pitd_lag7,0.0013001330828554029
pitd_lag2,0.001420538213067616
tmoy1,0.0015762880139283258
season,0.0017408491456012774
pitd_ma_3_ratio_tmoy,0.0018521430944494655
teff_cwv,0.0018783277690063711
pitd_lag1_ratio_tmoy,0.002573804535589696
pitd_ewm_7,0.0028534530738330488
pitd_ma_3_ratio_temp_mean,0.0028555869942802135
pitd_lag1_ratio_temp_mean,0.002867956464785652
teff_optim,0.0030320731643011583
hdd,0.003905168908800439
temp_mean,0.003908744338043239
pitd_ma_3,0.004179363101481192
pitd_ewm_3_ratio_tmoy,0.00471203714636916
pitd_ma_7,0.005452398244744118
year,0.005709243364809958
tmoy,0.005772091186981
temp_mean_ratio_pitd_lag1,0.0058190170134313985
pitd_ewm_3,0.006451240484983292
tmoy_ratio_pitd_ewm_3,0.008339303488046318
tmoy_ratio_pitd_lag1,0.012527783619658778
temp_mean_ratio_pitd_ewm_3,0.015323154105250338
pitd_lag1,0.017155963013551538
