feature,mean_importance
type_vol,-7.32907037889037e-05
below16.5_abc,-4.29462192388333e-05
is_winter,-8.555725372227929e-07
ponts_publics_abc,-8.08008118005285e-07
ponts_extended,-3.6075514960286214e-07
ponts_publics,-2.7755575615628915e-18
season_metero,5.1235179069145095e-08
hdd_lag14,1.8754006169404564e-06
dow,4.494996481433852e-06
tmoy_lag14,4.538289050052408e-06
noel.structural,4.779882675184574e-06
weekdays,9.511824028808971e-06
ponts_extended_abc,1.0441314248215566e-05
hdd_lag2,1.3423498921665348e-05
daydur,1.4646147247549674e-05
pitd_std_3,1.5195515481191204e-05
lag1_to_lag7_ratio,1.8176210084650326e-05
days_to_holiday,1.8350091875514797e-05
pitd_std_14,1.8610577441745268e-05
tmoy_lag7,2.189129475493219e-05
quarter,2.2215987104272707e-05
sinus,2.5718084675327436e-05
below16.5,2.854366014380244e-05
weekend_cold,3.0065316646640804e-05
hdd_lag7,3.21817356378807e-05
etats,3.3056317100117055e-05
season_astrono,3.322704847137023e-05
aout.structural,3.525122897850425e-05
doy,3.7319938181643375e-05
pitd_std_7,3.738859536796153e-05
month,3.751625117103217e-05
season,4.299493965254954e-05
tmoy2,4.465206178745976e-05
woy,4.709806718840304e-05
isWeekday,5.057677200381271e-05
li_terega,5.248306819880637e-05
hdd_lag3,5.51366656430647e-05
isBizday,5.7152753958003565e-05
wday,6.0588647840560673e-05
nmonth,6.0882886116346915e-05
cosinus,6.311504995747848e-05
isWeekend,6.454355481753868e-05
weekend,6.72541798441284e-05
not_weekend,8.0569301243524e-05
tmoy1,8.987566027726795e-05
tmoy_lag3,9.466253359281842e-05
pitd_lag14,9.94232735755246e-05
isHoliday,0.00014855118545161193
tmoy_diff_1,0.000157283128291651
pitd_lag3,0.00016913103200280125
pitd_lag7,0.0001737287969996816
pitd_ma_14,0.0001945680438357085
tmoy_lag2,0.0002573142581082762
li,0.0002581221361789527
teff_constr_diff_1,0.0002622904433136692
tmoy_lag1,0.0002641414276725887
teff_cwv_diff_1,0.00043193712108832645
hdd_bizday,0.0008247788256938102
pitd_ewm_14,0.0008701892763257897
hdd_lag1,0.000916499256196995
year,0.0011042009731889121
pitd_ma_7,0.0012771742494498296
rolling_hdd_7,0.0014254678753559981
teff_cwv,0.0019544882770481256
pitd_lag2,0.002270022929830101
teff_optim,0.0027352293668271807
tmoy,0.0030778950313988893
pitd_ewm_7,0.0034162730165787233
temp_mean,0.0037211408402333503
teff_constr,0.003928668550731473
hdd,0.0050945910680906545
pitd_ma_3,0.010380604115694676
pitd_ewm_3,0.014035252672230375
pitd_lag1,0.06094324280999762
