iter	RMSE
0	220659.2277
1	211657.3781
2	203284.9723
3	195169.653
4	187437.2255
5	179963.8834
6	172783.27
7	165936.3574
8	159437.7007
9	153241.1389
10	147432.2672
11	141590.8444
12	136065.9033
13	131025.4581
14	125963.5654
15	121264.6761
16	116735.0319
17	112434.0721
18	108217.5086
19	104147.9979
20	100427.7296
21	96793.40751
22	93338.48112
23	89958.08936
24	86760.94182
25	83679.51869
26	80819.67047
27	78057.91305
28	75312.60746
29	72745.55784
30	70396.84965
31	68137.71508
32	65995.63711
33	63884.48598
34	61926.04382
35	60063.82405
36	58223.2434
37	56421.04464
38	54718.67608
39	53167.884
40	51539.2059
41	50000.82926
42	48537.58994
43	47132.40986
44	45920.09718
45	44735.64551
46	43615.34448
47	42574.69155
48	41518.18204
49	40381.79485
50	39346.73241
51	38496.97495
52	37566.65961
53	36687.94559
54	35936.76442
55	35100.82958
56	34308.41469
57	33614.97093
58	33011.22444
59	32365.06423
60	31778.00506
61	31148.2944
62	30599.31069
63	30030.93141
64	29504.97758
65	29077.38763
66	28593.66085
67	28119.40161
68	27689.62494
69	27244.05779
70	26878.89198
71	26523.69216
72	26199.60195
73	25830.23796
74	25516.45906
75	25208.61259
76	24899.70676
77	24593.60444
78	24319.7918
79	24090.71475
80	23817.97876
81	23572.23465
82	23337.39603
83	23099.04904
84	22868.19238
85	22658.04131
86	22488.93838
87	22295.46218
88	22114.35241
89	21932.03354
90	21781.54389
91	21602.31045
92	21456.68429
93	21348.50583
94	21190.12512
95	21049.7585
96	20943.8087
97	20823.6873
98	20725.69289
99	20619.12262
100	20533.01544
101	20422.22678
102	20325.71236
103	20211.11005
104	20092.2781
105	19979.81894
106	19877.39774
107	19773.47311
108	19685.63628
109	19613.19144
110	19527.72308
111	19468.71683
112	19397.57732
113	19315.69702
114	19232.93933
115	19168.53263
116	19093.55721
117	19015.68678
118	18949.87747
119	18891.83951
120	18825.3168
121	18778.3032
122	18710.91378
123	18645.26385
124	18582.31764
125	18498.62989
126	18445.83156
127	18414.20109
128	18369.42089
129	18307.33506
130	18244.47638
131	18197.56244
132	18153.73364
133	18096.15906
134	18024.84575
135	17980.27085
136	17927.8997
137	17878.12472
138	17826.08169
139	17784.74957
140	17734.3879
141	17701.41764
142	17659.33533
143	17625.61882
144	17583.2101
145	17543.82079
146	17494.95635
147	17433.98291
148	17386.54755
149	17346.23677
150	17306.08867
151	17256.6443
152	17222.29724
153	17192.06116
154	17162.35031
155	17137.32789
156	17088.03686
157	17033.27543
158	16988.34956
159	16959.4953
160	16922.76087
161	16876.55441
162	16845.16525
163	16800.2167
164	16767.08608
165	16727.67559
166	16691.09206
167	16658.79879
168	16619.58788
169	16578.30469
170	16549.40051
171	16503.31432
172	16474.86718
173	16447.9159
174	16420.32763
175	16393.01745
176	16340.39599
177	16299.40682
178	16271.53908
179	16240.95436
180	16219.85124
181	16184.4721
182	16160.18633
183	16118.35548
184	16089.07995
185	16065.09532
186	16029.69261
187	15995.83201
188	15973.36996
189	15946.81298
190	15904.70041
191	15863.9799
192	15829.57732
193	15790.6459
194	15758.75165
195	15727.29893
196	15698.31915
197	15663.19187
198	15626.09616
199	15586.74765
200	15557.45097
201	15520.38006
202	15489.3456
203	15467.71256
204	15439.11864
205	15414.05176
206	15390.38998
207	15357.56553
208	15333.54352
209	15294.00082
210	15255.92752
211	15232.41165
212	15202.19253
213	15179.78007
214	15142.00254
215	15118.73412
216	15099.3251
217	15074.8302
218	15049.87229
219	15016.95511
220	14979.53135
221	14957.73622
222	14941.7118
223	14920.94926
224	14891.75217
225	14855.07969
226	14833.5023
227	14808.95431
228	14774.4832
229	14736.9731
230	14702.71973
231	14684.79892
232	14654.61626
233	14621.98746
234	14599.78057
235	14571.68938
236	14535.44142
237	14511.06468
238	14493.35247
239	14467.66785
240	14447.46675
241	14432.67578
242	14390.52148
243	14368.35265
244	14351.23698
245	14325.81063
246	14306.7089
247	14273.26157
248	14242.57649
249	14227.4205
250	14203.54584
251	14180.37105
252	14136.23035
253	14113.33857
254	14086.05224
255	14069.40589
256	14031.60527
257	14007.8056
258	13987.04942
259	13966.32633
260	13939.78408
261	13913.76637
262	13887.292
263	13852.44139
264	13819.50404
265	13797.91341
266	13780.64118
267	13763.50197
268	13736.51822
269	13723.73549
270	13709.79186
271	13676.94517
272	13641.56707
273	13621.39965
274	13595.22059
275	13582.26109
276	13556.37139
277	13540.7587
278	13518.9754
279	13505.14762
280	13478.02805
281	13458.40566
282	13424.91471
283	13399.91805
284	13370.33857
285	13352.17818
286	13341.75287
287	13318.93599
288	13290.28499
289	13275.21007
290	13258.77081
291	13251.01485
292	13237.74443
293	13222.60062
294	13193.22582
295	13178.62654
296	13159.08919
297	13131.44125
298	13113.40842
299	13087.85712
300	13071.81821
301	13048.8604
302	13022.77341
303	12996.17949
304	12967.64505
305	12947.45846
306	12929.12098
307	12905.23831
308	12883.56287
309	12864.08808
310	12846.77743
311	12821.70937
312	12803.96462
313	12791.20543
314	12765.03579
315	12748.13455
316	12718.23725
317	12699.00386
318	12686.03685
319	12661.69804
320	12653.36039
321	12637.39729
322	12620.92715
323	12593.74363
324	12575.82095
325	12563.44504
326	12552.99166
327	12531.35898
328	12506.20736
329	12499.25302
330	12474.97567
331	12458.0515
332	12440.50106
333	12423.46264
334	12404.66904
335	12382.26178
336	12362.78988
337	12344.75101
338	12314.33854
339	12296.98219
340	12283.91593
341	12268.04979
342	12249.98175
343	12240.34467
344	12231.43458
345	12206.56873
346	12188.65602
347	12176.50146
348	12163.11719
349	12143.28787
350	12123.24472
351	12091.17721
352	12074.30949
353	12058.0561
354	12047.52823
355	12028.35323
356	12018.56124
357	12004.33296
358	11989.57369
359	11964.55011
360	11937.91097
361	11921.26623
362	11908.69609
363	11888.18518
364	11867.9585
365	11855.53622
366	11842.2338
367	11818.85657
368	11810.36694
369	11799.61481
370	11790.97162
371	11784.92634
372	11765.28951
373	11747.35682
374	11723.09441
375	11713.33341
376	11701.10895
377	11678.4861
378	11667.83344
379	11656.16268
380	11641.71263
381	11628.61903
382	11608.07439
383	11581.858
384	11565.92163
385	11552.98206
386	11540.79329
387	11520.69023
388	11510.70459
389	11485.17174
390	11461.40533
391	11440.78421
392	11419.10411
393	11405.39148
394	11395.14802
395	11383.87641
396	11373.84016
397	11359.68029
398	11343.96712
399	11320.41767
400	11315.32942
401	11289.04332
402	11265.17732
403	11252.99318
404	11242.68715
405	11227.08614
406	11209.27469
407	11191.16385
408	11176.24481
409	11160.83233
410	11144.15622
411	11134.98392
412	11126.28622
413	11116.17363
414	11097.95879
415	11072.424
416	11060.62394
417	11038.93043
418	11031.6785
419	11018.0942
420	11007.5982
421	10995.88678
422	10982.62605
423	10968.31387
424	10952.14361
425	10946.88358
426	10935.78555
427	10913.22742
428	10897.08964
429	10886.92256
430	10869.71417
431	10853.47578
432	10836.18024
433	10826.33476
434	10805.47982
435	10787.3207
436	10777.68366
437	10759.85689
438	10747.98167
439	10734.31004
440	10720.26228
441	10714.11831
442	10701.26325
443	10692.15555
444	10683.00858
445	10666.80605
446	10647.48583
447	10640.21478
448	10629.7939
449	10611.44831
450	10591.91111
451	10584.02339
452	10570.20664
453	10554.87622
454	10550.63157
455	10538.26916
456	10515.74433
457	10506.76
458	10491.22569
459	10483.73183
460	10461.51635
461	10443.90675
462	10428.309
463	10418.9079
464	10401.90878
465	10388.72631
466	10377.96315
467	10369.98571
468	10362.79725
469	10354.96647
470	10338.76938
471	10320.94643
472	10307.8075
473	10302.2163
474	10280.14283
475	10263.78689
476	10246.79475
477	10228.24503
478	10220.79446
479	10206.13075
480	10198.72377
481	10187.92378
482	10168.28693
483	10154.03371
484	10142.51928
485	10135.66781
486	10115.93172
487	10101.82433
488	10088.25585
489	10073.89583
490	10060.76408
491	10043.18225
492	10036.74474
493	10019.03357
494	10004.16138
495	9991.153369
496	9984.585306
497	9971.836679
498	9959.219436
499	9946.259337
500	9935.973514
501	9921.419824
502	9917.2708
503	9909.464813
504	9890.511222
505	9882.173039
506	9868.855647
507	9861.951861
508	9851.301556
509	9846.088281
510	9821.640594
511	9798.494202
512	9791.477943
513	9777.529457
514	9762.679048
515	9746.302731
516	9739.153663
517	9725.799952
518	9720.449598
519	9710.817419
520	9701.174103
521	9686.612129
522	9682.325508
523	9672.810173
524	9657.613948
525	9639.646238
526	9633.62468
527	9618.433264
528	9605.980568
529	9590.247071
530	9578.108357
531	9570.219098
532	9555.185324
533	9544.574911
534	9535.275562
535	9524.09508
536	9519.947266
537	9507.240245
538	9500.160274
539	9492.211126
540	9484.959368
541	9477.062939
542	9458.611811
543	9447.248012
544	9440.690944
545	9429.758854
546	9420.676508
547	9406.609794
548	9397.225058
549	9381.244343
550	9369.891976
551	9356.09554
552	9340.991889
553	9331.039341
554	9319.213921
555	9316.24992
556	9299.20882
557	9288.749245
558	9275.537552
559	9267.858959
560	9258.263423
561	9252.691038
562	9242.269812
563	9237.253585
564	9225.795217
565	9212.718032
566	9202.644178
567	9189.396513
568	9186.125501
569	9171.983773
570	9157.713647
571	9153.986977
572	9146.664321
573	9139.475961
574	9126.26266
575	9116.27805
576	9111.674467
577	9101.695906
578	9088.64665
579	9077.750474
580	9066.232437
581	9060.791263
582	9041.204072
583	9035.532378
584	9019.688966
585	9004.151904
586	8986.565263
587	8975.006465
588	8963.305292
589	8955.608987
590	8942.060331
591	8931.947202
592	8923.915395
593	8910.474907
594	8905.244814
595	8893.851917
596	8883.592867
597	8874.026011
598	8860.930275
599	8845.439574
600	8841.778049
601	8823.466966
602	8811.940158
603	8800.667171
604	8789.884197
605	8780.833008
606	8769.012323
607	8763.019515
608	8754.899231
609	8741.510413
610	8729.823007
611	8713.795973
612	8701.225727
613	8687.849217
614	8680.693795
615	8670.182938
616	8667.602012
617	8656.222435
618	8646.03034
619	8629.140059
620	8622.114258
621	8607.97468
622	8598.773946
623	8595.001182
624	8589.529746
625	8580.143324
626	8571.802977
627	8565.767673
628	8558.898931
629	8545.078575
630	8539.628928
631	8527.602101
632	8522.401115
633	8511.804228
634	8500.014564
635	8492.955288
636	8487.963819
637	8476.838169
638	8469.344976
639	8460.845526
640	8456.120652
641	8450.07744
642	8444.390867
643	8427.547472
644	8416.068648
645	8409.80281
646	8405.208982
647	8399.860618
648	8386.885996
649	8380.832313
650	8375.49919
651	8362.363223
652	8352.312803
653	8342.415708
654	8333.021548
655	8323.341091
656	8311.695862
657	8299.770249
658	8288.8806
659	8280.045849
660	8272.10559
661	8267.590295
662	8257.728194
663	8245.378297
664	8234.391038
665	8224.31686
666	8215.599108
667	8202.794556
668	8192.330022
669	8181.450257
670	8173.920949
671	8164.142453
672	8156.431131
673	8148.022709
674	8133.695613
675	8116.67608
676	8109.341092
677	8102.889621
678	8093.118297
679	8087.275736
680	8081.195181
681	8073.883479
682	8062.048835
683	8058.369943
684	8052.145268
685	8042.966475
686	8035.961922
687	8025.482354
688	8018.971718
689	8007.186843
690	8004.938462
691	7997.611301
692	7990.830047
693	7985.404206
694	7975.781293
695	7961.767696
696	7957.39956
697	7945.696425
698	7938.746242
699	7927.796985
700	7918.976
701	7913.103542
702	7909.79427
703	7906.760899
704	7900.374115
705	7894.266835
706	7888.221272
707	7876.397361
708	7861.062109
709	7849.019757
710	7839.344347
711	7832.062963
712	7821.748376
713	7814.348648
714	7804.331741
715	7797.04654
716	7789.406576
717	7783.53969
718	7777.008563
719	7772.31089
720	7756.93875
721	7748.980054
722	7744.199022
723	7742.446372
724	7729.944159
725	7724.665145
726	7715.228026
