iter	RMSE
0	218803.8734
1	208016.8014
2	197515.3727
3	187752.0372
4	178607.9806
5	170372.9023
6	162010.8835
7	154480.985
8	147053.9627
9	140118.8633
10	133766.0637
11	127608.484
12	121785.5768
13	116382.3019
14	111089.6064
15	105979.605
16	101343.048
17	96858.3521
18	92461.71597
19	88518.48933
20	84688.70058
21	81066.32912
22	77819.54513
23	74519.93447
24	71584.51644
25	68670.60334
26	65930.79662
27	63323.75935
28	60947.37231
29	58657.2193
30	56402.15845
31	54286.39178
32	52281.37155
33	50407.44492
34	48573.57833
35	46896.38193
36	45417.5328
37	43962.26451
38	42531.68282
39	41348.77858
40	40045.25809
41	38768.4947
42	37592.06169
43	36604.53288
44	35625.51643
45	34648.94031
46	33798.97819
47	32921.6475
48	32198.75597
49	31487.7962
50	30729.785
51	29987.0295
52	29342.95142
53	28734.70726
54	28160.02405
55	27647.23305
56	27182.8473
57	26695.01998
58	26241.05042
59	25817.56352
60	25478.02624
61	25095.21789
62	24760.07865
63	24408.82632
64	24079.42002
65	23765.85809
66	23472.14247
67	23203.06018
68	22932.13758
69	22652.60892
70	22419.51315
71	22195.06028
72	21972.93016
73	21775.03921
74	21601.19707
75	21436.03266
76	21316.05063
77	21169.89258
78	20975.23176
79	20790.45048
80	20636.8079
81	20481.25801
82	20354.40005
83	20211.47111
84	20115.0089
85	19978.70824
86	19853.45583
87	19721.49212
88	19619.8755
89	19509.44241
90	19411.7454
91	19318.13725
92	19232.02503
93	19149.4069
94	19048.55913
95	18969.58608
96	18849.30301
97	18783.14592
98	18698.68348
99	18611.8934
100	18529.98007
101	18480.35723
102	18413.5667
103	18316.90151
104	18245.07272
105	18184.05169
106	18107.24574
107	18037.43134
108	17973.66471
109	17919.9769
110	17845.52893
111	17781.46221
112	17722.03868
113	17652.61289
114	17611.66606
115	17538.07208
116	17488.74608
117	17422.72564
118	17370.47659
119	17324.65109
120	17252.49544
121	17181.19044
122	17126.88328
123	17074.38623
124	17036.66219
125	16983.34846
126	16919.25256
127	16854.56751
128	16813.18072
129	16759.29258
130	16715.01085
131	16669.91847
132	16619.02298
133	16586.64052
134	16531.33058
135	16479.7496
136	16405.53615
137	16353.29592
138	16297.39765
139	16251.80205
140	16202.71544
141	16153.80601
142	16126.64357
143	16069.14005
144	16013.81203
145	15958.18092
146	15934.64064
147	15900.61319
148	15854.29004
149	15800.40578
150	15727.80126
151	15692.6916
152	15659.13848
153	15630.0253
154	15594.78181
155	15533.59376
156	15486.13269
157	15435.92612
158	15391.61193
159	15352.28422
160	15319.71248
161	15289.67419
162	15246.2555
163	15191.13721
164	15155.33478
165	15113.03554
166	15064.66804
167	15029.34442
168	14987.13157
169	14928.53496
170	14876.93312
171	14840.22419
172	14799.20546
173	14764.96172
174	14734.09412
175	14697.93762
176	14677.8373
177	14633.55681
178	14589.74884
179	14551.71748
180	14502.04716
181	14459.05028
182	14420.49736
183	14393.57179
184	14340.18975
185	14314.55731
186	14270.61508
187	14231.77277
188	14203.94038
189	14168.90791
190	14131.13929
191	14105.59886
