iter	Passed	Remaining
0	8	8068
1	15	7581
2	22	7504
3	60	15022
4	69	13863
5	78	12933
6	84	12015
7	91	11337
8	100	11085
9	108	10784
10	142	12797
11	149	12333
12	158	12017
13	165	11662
14	171	11290
15	178	10965
16	185	10720
17	191	10459
18	198	10230
19	235	11536
20	244	11393
21	254	11325
22	261	11118
23	269	10979
24	277	10804
25	285	10711
26	324	11704
27	332	11528
28	338	11342
29	346	11206
30	354	11084
31	362	10957
32	370	10842
33	407	11586
34	418	11538
35	424	11372
36	430	11212
37	437	11064
38	444	10941
39	450	10805
40	456	10687
41	479	10943
42	496	11056
43	506	11009
44	515	10949
45	523	10849
46	529	10734
47	535	10628
48	542	10526
49	550	10457
50	583	10858
51	590	10765
52	595	10648
53	602	10556
54	611	10504
55	621	10469
56	629	10408
57	636	10341
58	661	10557
59	670	10504
60	678	10451
61	688	10410
62	696	10363
63	704	10310
64	741	10668
65	750	10615
66	757	10541
67	764	10478
68	772	10424
69	783	10404
70	792	10369
71	799	10310
72	833	10578
73	844	10563
74	852	10513
75	860	10459
76	868	10404
77	875	10353
78	883	10299
79	919	10575
80	928	10536
81	937	10494
82	945	10445
83	953	10400
84	962	10357
85	970	10312
86	1007	10569
87	1014	10517
88	1022	10465
89	1029	10411
90	1037	10362
91	1044	10310
92	1052	10260
93	1059	10211
94	1098	10460
95	1106	10421
96	1115	10381
97	1122	10334
98	1129	10281
99	1136	10226
100	1143	10179
101	1150	10124
102	1190	10365
103	1202	10355
104	1212	10335
105	1220	10292
106	1227	10246
107	1234	10198
108	1271	10390
109	1281	10370
110	1290	10336
111	1299	10301
112	1307	10261
113	1316	10235
114	1326	10208
115	1362	10380
116	1370	10343
117	1377	10297
118	1384	10249
119	1390	10195
120	1397	10152
121	1406	10120
122	1413	10076
123	1449	10238
124	1455	10187
125	1461	10140
126	1467	10089
127	1474	10041
128	1480	9994
129	1486	9950
130	1494	9911
131	1501	9876
132	1536	10014
133	1542	9970
134	1549	9926
135	1555	9880
136	1561	9836
137	1569	9800
138	1575	9759
139	1581	9716
140	1587	9673
141	1625	9819
142	1633	9791
143	1641	9759
144	1649	9724
145	1655	9684
146	1663	9652
147	1671	9619
148	1677	9579
149	1714	9717
150	1721	9681
151	1727	9640
152	1734	9602
153	1741	9565
154	1749	9537
155	1756	9504
156	1764	9474
157	1798	9585
158	1807	9558
159	1814	9528
160	1823	9501
161	1831	9472
162	1839	9445
163	1846	9412
164	1884	9534
165	1893	9512
166	1901	9486
167	1913	9474
168	1919	9438
169	1926	9407
170	1933	9373
171	1940	9341
172	1975	9443
173	1983	9413
174	1991	9387
175	1998	9355
176	2005	9323
177	2014	9302
178	2022	9277
179	2054	9358
180	2066	9351
181	2073	9321
182	2080	9287
183	2089	9267
184	2095	9230
185	2102	9201
186	2109	9172
187	2147	9276
188	2156	9254
189	2159	9207
190	2167	9179
191	2174	9149
192	2180	9117
193	2187	9087
194	2193	9057
195	2200	9028
196	2232	9101
197	2240	9074
198	2246	9043
199	2253	9012
200	2259	8980
201	2265	8949
202	2271	8919
203	2280	8898
204	2315	8978
205	2323	8956
206	2331	8932
207	2339	8909
208	2348	8886
209	2356	8865
210	2363	8838
211	2370	8810
212	2401	8871
213	2407	8843
214	2414	8815
215	2422	8791
216	2428	8761
217	2434	8731
218	2443	8713
219	2451	8691
220	2458	8666
221	2493	8739
222	2502	8720
223	2510	8698
224	2521	8685
225	2528	8660
226	2534	8631
227	2541	8604
228	2547	8576
229	2580	8638
230	2589	8619
231	2595	8593
232	2602	8566
233	2608	8538
234	2614	8512
235	2625	8498
236	2662	8572
237	2670	8551
238	2677	8526
239	2684	8500
240	2691	8475
241	2697	8450
242	2704	8424
243	2716	8415
244	2750	8475
245	2757	8450
246	2763	8425
247	2770	8400
248	2776	8374
249	2783	8349
250	2791	8328
251	2826	8388
252	2833	8366
253	2840	8342
254	2847	8319
255	2855	8298
256	2863	8277
257	2871	8257
258	2878	8234
259	2915	8299
260	2924	8279
261	2932	8259
262	2940	8238
263	2947	8218
264	2957	8202
265	2964	8181
266	2999	8233
267	3008	8216
268	3014	8192
269	3021	8168
270	3027	8145
271	3034	8120
272	3040	8097
273	3047	8073
274	3053	8050
275	3090	8105
276	3098	8086
277	3105	8065
278	3114	8049
279	3122	8028
280	3132	8014
281	3139	7994
282	3176	8048
283	3185	8031
284	3193	8010
285	3202	7994
286	3210	7977
287	3219	7959
288	3227	7940
289	3264	7993
290	3271	7970
291	3277	7947
292	3285	7927
293	3291	7903
294	3297	7880
295	3303	7856
296	3309	7834
297	3316	7813
298	3352	7859
299	3358	7836
300	3365	7816
301	3372	7794
302	3382	7781
303	3393	7768
304	3401	7750
305	3407	7728
306	3438	7762
307	3447	7746
308	3456	7730
309	3464	7711
310	3470	7689
311	3477	7667
312	3483	7646
313	3491	7627
314	3525	7667
315	3534	7649
316	3541	7630
317	3549	7611
318	3556	7591
319	3563	7573
320	3572	7556
321	3579	7537
322	3617	7583
323	3625	7563
324	3631	7542
325	3637	7520
326	3646	7505
327	3654	7486
328	3662	7468
329	3697	7507
330	3706	7490
331	3714	7474
332	3721	7453
333	3727	7432
334	3733	7411
335	3742	7395
336	3749	7376
337	3785	7414
338	3793	7395
339	3800	7376
340	3807	7358
341	3816	7341
342	3823	7323
343	3829	7302
344	3835	7282
345	3871	7318
346	3880	7302
347	3887	7283
348	3895	7266
349	3905	7252
350	3912	7234
351	3919	7215
352	3946	7232
353	3959	7226
354	3967	7208
355	3974	7189
356	3981	7171
357	3988	7152
358	3995	7133
359	4001	7113
360	4007	7092
361	4029	7102
362	4045	7099
363	4051	7079
364	4058	7059
365	4064	7040
366	4070	7021
367	4077	7001
368	4084	6985
369	4093	6969
370	4128	6998
371	4136	6982
372	4143	6965
373	4151	6948
374	4160	6933
375	4168	6917
376	4177	6903
377	4217	6940
378	4224	6921
379	4230	6902
380	4239	6887
381	4247	6871
382	4257	6858
383	4265	6842
384	4303	6874
385	4312	6860
386	4321	6844
387	4329	6828
388	4337	6812
389	4345	6797
390	4353	6781
391	4390	6810
392	4401	6797
393	4412	6787
394	4419	6769
395	4428	6754
396	4437	6739
397	4446	6726
398	4486	6758
399	4495	6743
400	4503	6727
401	4511	6710
402	4517	6692
403	4524	6675
404	4533	6660
405	4568	6683
406	4578	6671
407	4586	6654
408	4595	6640
409	4603	6624
410	4610	6606
411	4617	6590
412	4624	6573
413	4663	6600
414	4672	6586
415	4680	6570
416	4686	6552
417	4694	6536
418	4701	6519
419	4710	6505
420	4746	6528
421	4755	6512
422	4764	6499
423	4772	6483
424	4781	6468
425	4789	6453
426	4798	6439
427	4834	6461
428	4843	6446
429	4851	6431
430	4860	6416
431	4868	6400
432	4876	6384
433	4883	6368
434	4889	6351
435	4928	6375
436	4937	6360
437	4945	6345
438	4956	6333
439	4971	6327
440	5002	6341
441	5016	6332
442	5025	6319
443	5035	6306
444	5043	6290
445	5051	6274
446	5059	6258
447	5067	6243
448	5106	6266
449	5113	6249
450	5122	6235
451	5130	6219
452	5136	6202
453	5145	6188
454	5157	6177
455	5195	6198
456	5208	6188
457	5215	6172
458	5224	6157
459	5233	6143
460	5241	6128
461	5274	6142
462	5282	6126
463	5288	6109
464	5297	6094
465	5305	6079
466	5314	6065
467	5323	6051
468	5330	6035
469	5365	6050
470	5372	6034
471	5379	6018
472	5386	6001
473	5394	5986
474	5403	5972
475	5410	5956
476	5444	5969
477	5453	5955
478	5462	5940
479	5469	5924
480	5475	5908
481	5482	5891
482	5489	5875
483	5495	5859
484	5502	5842
485	5539	5858
486	5546	5842
487	5552	5826
488	5560	5810
489	5567	5795
490	5574	5779
491	5581	5763
492	5589	5748
493	5626	5762
494	5633	5747
495	5640	5731
496	5647	5715
497	5662	5708
498	5670	5693
499	5678	5678
500	5717	5694
501	5725	5679
502	5732	5664
503	5741	5650
504	5749	5635
505	5757	5620
506	5764	5604
507	5798	5615
508	5805	5600
509	5813	5585
510	5821	5570
511	5830	5557
512	5839	5543
513	5847	5528
514	5882	5539
515	5893	5527
516	5901	5513
517	5910	5499
518	5918	5485
519	5927	5471
520	5935	5457
521	5973	5470
522	5983	5457
523	5990	5442
524	5997	5426
525	6007	5413
526	6015	5399
527	6024	5385
528	6062	5398
529	6072	5384
530	6080	5370
531	6088	5355
532	6096	5341
533	6103	5326
534	6112	5312
535	6149	5323
536	6159	5310
537	6168	5296
538	6176	5282
539	6183	5267
540	6193	5255
541	6200	5239
542	6235	5248
543	6247	5236
544	6255	5222
545	6263	5207
546	6271	5194
547	6280	5179
548	6290	5167
549	6323	5173
550	6333	5160
551	6343	5148
552	6351	5134
553	6359	5119
554	6368	5106
555	6376	5092
556	6384	5077
557	6418	5084
558	6426	5070
559	6440	5060
560	6448	5045
561	6455	5030
562	6462	5016
563	6469	5001
564	6505	5008
565	6512	4993
566	6519	4979
567	6527	4964
568	6534	4949
569	6541	4935
570	6549	4920
571	6557	4906
572	6591	4912
573	6599	4897
574	6607	4883
575	6614	4869
576	6621	4854
577	6628	4839
578	6635	4824
579	6644	4811
580	6679	4817
581	6687	4803
582	6695	4789
583	6703	4775
584	6712	4761
585	6720	4747
586	6728	4733
587	6764	4739
588	6772	4725
589	6780	4712
590	6789	4698
591	6800	4687
592	6809	4673
593	6816	4659
594	6857	4667
