iter	Passed	Remaining
0	1	244
1	2	266
2	3	246
3	4	235
4	5	224
5	6	216
6	8	221
7	9	217
8	9	211
9	10	206
10	11	203
11	12	198
12	13	193
13	14	188
14	14	183
15	15	180
16	16	177
17	17	174
18	18	172
19	18	169
20	19	168
21	20	167
22	21	165
23	22	163
24	23	162
25	24	160
26	24	159
27	25	157
28	26	156
29	27	155
30	28	152
31	28	150
32	29	148
33	30	146
34	30	144
35	31	144
36	32	142
37	34	145
38	34	144
39	35	142
40	36	140
41	37	139
42	38	138
43	38	137
44	39	136
45	40	134
46	40	132
47	41	131
48	42	129
49	45	135
50	64	189
51	67	193
52	70	194
53	70	191
54	71	189
55	72	186
56	73	184
57	74	182
58	75	179
59	75	176
60	76	174
61	77	171
62	77	169
63	78	167
64	79	165
65	80	163
66	81	161
67	82	159
68	82	157
69	83	155
70	84	152
71	85	151
72	85	149
73	86	147
74	87	145
75	87	143
76	88	141
77	89	139
78	90	138
79	90	136
80	91	134
81	92	132
82	92	131
83	93	129
84	94	127
85	95	126
86	95	124
87	96	122
88	97	121
89	98	119
90	98	118
91	99	117
92	100	115
93	101	114
94	102	112
95	102	111
96	103	110
97	104	108
98	105	107
99	106	106
100	106	104
101	107	103
102	108	101
103	108	100
104	109	99
105	110	97
106	111	96
107	112	95
108	113	94
109	113	93
110	114	91
111	115	91
112	117	90
113	118	89
114	119	88
115	120	86
116	120	85
117	121	84
118	122	83
119	123	82
120	124	81
121	125	79
122	125	78
123	126	77
124	127	76
125	127	75
126	128	73
127	129	72
128	129	71
129	130	70
130	131	69
131	132	68
132	132	66
133	133	65
134	134	64
135	134	63
136	135	62
137	136	61
138	137	60
139	137	59
140	140	58
141	150	61
142	152	60
143	154	60
144	159	60
145	162	60
146	163	58
147	164	57
148	165	56
149	166	55
150	166	54
151	167	52
152	168	51
153	169	50
154	169	49
155	170	48
156	171	46
157	172	45
158	172	44
159	173	43
160	174	42
161	175	41
162	176	39
163	176	38
164	177	37
165	178	36
166	179	35
167	180	34
168	180	33
169	181	32
170	182	30
171	183	29
172	184	28
173	186	27
174	187	26
175	187	25
176	188	24
177	189	23
178	190	22
179	191	21
180	192	20
181	192	19
182	193	18
183	194	16
184	195	15
185	196	14
186	197	13
187	198	12
188	198	11
189	199	10
190	200	9
191	201	8
192	202	7
193	203	6
194	203	5
195	204	4
196	205	3
197	206	2
198	207	1
199	207	0
